,mediaTech.OPEN,mediaTech.HIGH,mediaTech.LOW,mediaTech.CLOSE,mediaTech.CHANGE,mediaTech.Returns,mediaTech.TRANSACTION,mediaTech.VOL
2015/5/28,410,412,406,409,9,0.0225,3650329,8919
2015/5/29,410,414.5,410,414.5,5.5,0.0134,4546060,11004
2015/6/1,418,418,407,410,-4.5,-0.0109,2059978,5006
2015/6/2,412.5,414.5,408,410,0,0,2211420,5388
2015/6/3,411,415.5,409.5,410,0,0,1515358,3686
2015/6/4,410,410,403,403,-7,-0.0171,2396919,5916
2015/6/5,402,403.5,398,400.5,-2.5,-0.0062,2247335,5614
2015/6/8,400,403,396,400.5,0,0,1304662,3260
2015/6/9,402,409,401,401.5,1,0.0025,1470169,3635
2015/6/10,405,409,403,403.5,2,0.005,1957160,4823
2015/6/11,404.5,407,401,403.5,0,0,1701889,4209
2015/6/12,406.5,418,404.5,416,12.5,0.031,3011699,7284
2015/6/15,418,419.5,407.5,409,-7,-0.0168,2380091,5758
2015/6/16,411.5,416.5,411,412.5,3.5,0.0086,1726693,4180
2015/6/17,415.5,425,413,424.5,12,0.0291,4039909,9589
2015/6/18,423,424.5,420,422.5,-2,-0.0047,2061036,4875
2015/6/22,425,436,425,434,11.5,0.0272,3520548,8139
2015/6/23,437.5,439.5,426,426,-8,-0.0184,2920020,6772
2015/6/24,425,425.5,420.5,421.5,-4.5,-0.0106,2229650,5274
2015/6/25,422,432.5,422,432.5,11,0.0261,2551232,5949
2015/6/26,428,431,422,425,-7.5,-0.0173,2659848,6265
2015/6/29,420,427.5,420,426,1,0.0024,2169210,5108
2015/6/30,426,426,421,422,-4,-0.0094,1892600,4477
2015/7/1,424,430,424,427.5,5.5,0.013,1724941,4029
2015/7/2,424.5,427,421,421,-6.5,-0.0152,1959362,4625
2015/7/3,420,426,418.5,426,5,0.0119,1974924,4677
2015/7/6,421,424.5,419,419,-7,-0.0164,1501429,3567
2015/7/7,418,422,413.5,418,-1,-0.0024,2347389,5614
2015/7/8,414.5,415,400,403,-15,-0.0359,4668978,11559
2015/7/9,390,402,387,400,-3,-0.0074,5422143,13760
2015/7/13,391,400,391,398,-2,-0.005,3184211,8056
2015/7/14,396,400,389,389,-9,-0.0226,4789069,12184
2015/7/15,375.5,377.5,372,373,-16,-0.0411,3556753,9512
2015/7/16,374,375.5,366,369,-4,-0.0107,2579061,6979
2015/7/17,369,369.5,362.5,365,-4,-0.0108,2486008,6812
2015/7/20,365.5,366.5,336,346.5,-18.5,-0.0507,5537058,15757
2015/7/21,342.5,357,342.5,357,10.5,0.0303,2545040,7237
2015/7/22,351,354,348,350.5,-6.5,-0.0182,2099396,5983
2015/7/23,350.5,352.5,338.5,342,-8.5,-0.0243,2946058,8560
2015/7/24,340,342,326,326,-16,-0.0468,3715903,11201
2015/7/27,326,333.5,317.5,317.5,-8.5,-0.0261,3135216,9650
2015/7/28,320,328,320,321.5,4,0.0126,2583423,7989
2015/7/29,322,329,321,322.5,1,0.0031,2031135,6267
2015/7/30,331,333,325,327,4.5,0.014,2636559,8025
2015/7/31,327,332,322,332,5,0.0153,2308216,7028
2015/8/3,299,299,299,299,-33,-0.0994,1517827,5076
2015/8/4,275,287,274,280,-19,-0.0635,7587599,27240
2015/8/5,287.5,287.5,268,270,-10,-0.0357,4701351,16903
2015/8/6,275,278,268.5,275,5,0.0185,2636616,9658
2015/8/7,273,282.5,267,278,3,0.0109,2688816,9755
2015/8/10,280.5,291.5,275,288,10,0.036,2914243,10273
2015/8/11,296,297.5,284,284,-4,-0.0139,2583094,8924
2015/8/12,285,286.5,276,280,-4,-0.0141,3102463,11056
2015/8/13,280,283,277,279.5,-0.5,-0.0018,2352302,8412
2015/8/14,280,280,265,270,-9.5,-0.034,3703380,13743
2015/8/17,268,268,263,265,-5,-0.0185,1967968,7430
2015/8/18,267,271.5,266.5,267,2,0.0075,1338672,4998
2015/8/19,265.5,267.5,261,261,-6,-0.0225,1720158,6533
2015/8/20,260,263,254,260,-1,-0.0038,3626883,14040
2015/8/21,254.5,257,252,254,-6,-0.0231,3108393,12198
2015/8/24,250,250,229,229,-25,-0.0984,3118288,13244
2015/8/25,228,240,227,235,6,0.0262,4242229,18173
2015/8/26,233,234,227,229.5,-5.5,-0.0234,3779310,16351
2015/8/27,235.5,238,228,230,0.5,0.0022,4523359,19511
2015/8/28,243,253,241,253,23,0.1,5121796,20490
2015/8/31,255,256,246.5,251,-2,-0.0079,3358358,13382
2015/9/1,248.5,249.5,239.5,245,-6,-0.0239,2297951,9407
2015/9/2,242.5,245,240.5,243,-2,-0.0082,2176465,8966
2015/9/3,243,248,241,242,-1,-0.0041,1621938,6675
2015/9/4,242,254,242,242,0,0,3450510,13928
2015/9/7,242,248.5,242,246.5,4.5,0.0186,1786185,7277
2015/9/8,250,257.5,250,255,8.5,0.0345,3009269,11809
2015/9/9,261,280.5,260,280,25,0.098,4255224,15645
2015/9/10,274.5,277,270,273,-7,-0.025,2840822,10371
2015/9/11,273,283.5,273,277,4,0.0147,2763621,9916
2015/9/14,282.5,283,275,277,0,0,1399556,5042
2015/9/15,276,277,270,271,-6,-0.0217,1168857,4293
2015/9/16,275.5,276.5,272,276,5,0.0185,1765169,6427
2015/9/17,281.5,283.5,277,277,1,0.0036,1881264,6721
2015/9/18,280,280.5,277,278.5,1.5,0.0054,1536344,5512
2015/9/21,275,275,262.5,263.5,-15,-0.0539,3506899,13096
2015/9/22,260,262.5,256,260,-3.5,-0.0133,3148767,12145
2015/9/23,255,255.5,248,251,-9,-0.0346,3299062,13142
2015/9/24,251,253,236,236,-15,-0.0598,4891479,20224
2015/9/25,234.5,241,233.5,237,1,0.0042,2764987,11640
2015/9/30,231,245.5,230.5,243.5,6.5,0.0274,3580958,15077
2015/10/1,248,253,246.5,250.5,7,0.0287,2705994,10801
2015/10/2,250.5,252,247.5,249.5,-1,-0.004,1931774,7737
2015/10/5,249.5,250,242,243,-6.5,-0.0261,2771232,11320
2015/10/6,247,249,244,245,2,0.0082,2774364,11280
2015/10/7,247.5,258,246,258,13,0.0531,3943631,15537
2015/10/8,264.5,268,262,265.5,7.5,0.0291,4436863,16739
2015/10/12,269,271.5,264,266.5,1,0.0038,2515133,9427
2015/10/13,270,277.5,267.5,277,10.5,0.0394,4179189,15217
2015/10/14,277,277,271.5,272.5,-4.5,-0.0162,1985471,7257
2015/10/15,274.5,277,271.5,276,3.5,0.0128,2039975,7426
2015/10/16,276.5,276.5,272,276,0,0,2220967,8087
2015/10/19,278,278.5,272.5,274,-2,-0.0072,1328595,4834
2015/10/20,276,276.5,272.5,275,1,0.0036,1386372,5049
2015/10/21,275,275.5,263,264.5,-10.5,-0.0382,2930642,10963
2015/10/22,261,270,261,267,2.5,0.0095,2503306,9367
2015/10/23,272.5,272.5,266,267,0,0,2209496,8217
2015/10/26,269,272.5,268,271.5,4.5,0.0169,1530465,5655
2015/10/27,267.5,268.5,263.5,264.5,-7,-0.0258,1898469,7148
2015/10/28,263,264.5,252,256,-8.5,-0.0321,4232533,16487
2015/10/29,259,259,252.5,253,-3,-0.0117,1706555,6709
2015/10/30,252,258.5,249.5,254.5,1.5,0.0059,1800621,7095
2015/11/2,259.5,271,259.5,270,15.5,0.0609,4847768,18134
2015/11/3,275,279,273.5,276,6,0.0222,4836260,17532
2015/11/4,283,303.5,281,302.5,26.5,0.096,8769260,29667
2015/11/5,307,307,295.5,297,-5.5,-0.0182,3257614,10910
2015/11/6,297,297,288,288,-9,-0.0303,4214961,14515
2015/11/9,288,293,284,286,-2,-0.0069,2425513,8431
2015/11/10,282.5,292.5,282.5,285.5,-0.5,-0.0017,2963178,10294
2015/11/11,285.5,288,274,275,-10.5,-0.0368,3069878,10980
2015/11/12,275,278,265,272,-3,-0.0109,2397108,8874
2015/11/13,271.5,277.5,265,265.5,-6.5,-0.0239,2706832,10012
2015/11/16,265,272.5,262.5,270.5,5,0.0188,2118379,7885
2015/11/17,274,274.5,265,265.5,-5,-0.0185,2467964,9186
2015/11/18,263,265,257,258,-7.5,-0.0282,2481582,9541
2015/11/19,258,265,256,265,7,0.0271,2200660,8404
2015/11/20,262,264.5,260,261.5,-3.5,-0.0132,1227366,4694
2015/11/23,264,275,260,275,13.5,0.0516,3567998,13270
2015/11/24,276,278.5,267.5,268,-7,-0.0255,2814998,10340
2015/11/25,271,274,262.5,262.5,-5.5,-0.0205,2524198,9434
2015/11/26,268,274,265.5,274,11.5,0.0438,2769531,10219
2015/11/27,273,273.5,266.5,267,-7,-0.0255,1497301,5567
2015/11/30,263,264.5,257,260.5,-6.5,-0.0243,3138494,12060
2015/12/1,261,264,256,261,0.5,0.0019,3588283,13816
2015/12/2,263,271,262.5,269,8,0.0307,3119953,11632
2015/12/3,267,275,266.5,274,5,0.0186,2649119,9727
2015/12/4,270,271,267,269,-5,-0.0182,1500588,5576
2015/12/7,271.5,275,271,275,6,0.0223,2009070,7342
2015/12/8,274,275,269,270,-5,-0.0182,1830973,6750
2015/12/9,270.5,271.5,264,264,-6,-0.0222,1404581,5269
2015/12/10,260,263,258.5,260,-4,-0.0152,1715244,6585
2015/12/11,261,264,257.5,257.5,-2.5,-0.0096,1445723,5554
2015/12/14,259,260,253,255,-2.5,-0.0097,1289472,5017
2015/12/15,255.5,262,255.5,259,4,0.0157,1608902,6212
2015/12/16,255,257,250,253,-6,-0.0232,2477732,9786
2015/12/17,254.5,260.5,253.5,259,6,0.0237,1379719,5357
2015/12/18,258.5,260,256,259,0,0,1423370,5504
2015/12/21,254,256.5,253,254,-5,-0.0193,1762286,6914
2015/12/22,258,267.5,258,260.5,6.5,0.0256,2288241,8699
2015/12/23,260.5,262.5,257,257,-3.5,-0.0134,1279890,4929
2015/12/24,259,260.5,254.5,254.5,-2.5,-0.0097,854650,3319
2015/12/25,254.5,257,254.5,256.5,2,0.0079,507885,1986
2015/12/28,258,261,257.5,259.5,3,0.0117,686226,2644
2015/12/29,256,256,248,250,-9.5,-0.0366,3579740,14313
2015/12/30,250,251,246.5,248.5,-1.5,-0.006,1970744,7931
2015/12/31,250,251,249,250,1.5,0.006,786051,3143
2016/1/4,251,252,245,245,-5,-0.02,1343003,5434
2016/1/5,245,247,242,242.5,-2.5,-0.0102,1219941,4993
2016/1/6,242,242.5,220,227,-15.5,-0.0639,4200025,18471
2016/1/7,225.5,226,205,206,-21,-0.0925,4554796,21273
2016/1/8,202,217,202,213.5,7.5,0.0364,3225534,15267
2016/1/11,209,210.5,203.5,209,-4.5,-0.0211,2252143,10917
2016/1/12,210,211.5,203,206.5,-2.5,-0.012,1891153,9111
2016/1/13,210,210.5,204,206.5,0,0,2115556,10219
2016/1/14,201.5,208,195.5,208,1.5,0.0073,2856866,14233
2016/1/15,210,212,200.5,205,-3,-0.0144,2232307,10867
2016/1/18,201,211.5,200,210,5,0.0244,1550622,7493
2016/1/19,210,221.5,209,216.5,6.5,0.031,2248842,10319
2016/1/20,215.5,215.5,210,210,-6.5,-0.03,1493020,7062
2016/1/21,213,214,209.5,210,0,0,1077703,5105
2016/1/22,213.5,215.5,211.5,212,2,0.0095,919307,4310
2016/1/25,216,217,214,214.5,2.5,0.0118,803537,3730
2016/1/26,211,212,207.5,209,-5.5,-0.0256,1150833,5491
2016/1/27,211,212.5,210,211,2,0.0096,459538,2179
2016/1/28,208,211.5,207.5,208,-3,-0.0142,1511656,7239
2016/1/29,206.5,215,201.5,214,6,0.0288,2787649,13312
2016/1/30,213,221,212,217.5,3.5,0.0164,1359254,6248
2016/2/1,216.5,216.5,209.5,210,-7.5,-0.0345,1824462,8599
2016/2/2,194,214,193.5,212,2,0.0095,4000330,19721
2016/2/3,206.5,208.5,200,200,-12,-0.0566,3081033,15215
