,mediaTech.OPEN,mediaTech.HIGH,mediaTech.LOW,mediaTech.CLOSE,mediaTech.CHANGE,mediaTech.Returns,mediaTech.TRANSACTION,mediaTech.VOL
2006/4/20,370,373,365,370,4,0.0109,3477103,9397
2006/4/21,373,395,371,388.5,18.5,0.05,7900169,20596
2006/4/24,388,396,387.5,390,1.5,0.0039,5335011,13623
2006/4/25,396,398,385,386,-4,-0.0103,4636711,11824
2006/4/26,380,384,366,368,-18,-0.0466,7906539,21199
2006/4/27,371,374.5,367,367.5,-0.5,-0.0014,3714592,10042
2006/4/28,371,373,367.5,372.5,5,0.0136,1915837,5171
2006/5/2,376,378,368.5,370,-2.5,-0.0067,2548709,6835
2006/5/3,372.5,382.5,372,376.5,6.5,0.0176,3011809,7963
2006/5/4,378.5,386,378.5,379,2.5,0.0066,3235561,8481
2006/5/5,385,389,380.5,382,3,0.0079,6384848,16582
2006/5/8,389,408.5,384.5,408.5,26.5,0.0694,10133382,25332
2006/5/9,411.5,416.5,403,403,-5.5,-0.0135,8438115,20502
2006/5/10,409,412,399,403.5,0.5,0.0012,4908523,12114
2006/5/11,400,418,400,414.5,11,0.0273,3915837,9562
2006/5/12,400.5,408,400,400,-14.5,-0.035,3631709,9005
2006/5/15,396,396,390,390,-10,-0.025,2907448,7400
2006/5/16,395,399.5,390.5,390.5,0.5,0.0013,2359866,5980
2006/5/17,395,395,386.5,389,-1.5,-0.0038,2339632,5985
2006/5/18,383,388,378.5,378.5,-10.5,-0.027,4045595,10609
2006/5/19,377,381,373,373.5,-5,-0.0132,3763432,10019
2006/5/22,375,376,360,360,-13.5,-0.0361,3112734,8407
2006/5/23,355,356.5,345,346,-14,-0.0389,3505950,10037
2006/5/24,352.5,364.5,348,360,14,0.0405,3449594,9654
2006/5/25,363,365,351,355,-5,-0.0139,2926270,8174
2006/5/26,360,365,348,350,-5,-0.0141,2541760,7139
2006/5/29,355,357,347.5,353,3,0.0086,1334730,3785
2006/5/30,355,367,352,360.5,7.5,0.0212,2173739,6046
2006/6/1,366,378,362,370.5,10,0.0277,3918777,10513
2006/6/2,376,381,372,374.5,4,0.0108,3706896,9840
2006/6/5,380,381,356,359,-15.5,-0.0414,3745244,10036
2006/6/6,365,374.5,360,374.5,15.5,0.0432,2386079,6498
2006/6/7,364,369,349,351,-23.5,-0.0628,3787765,10578
2006/6/8,347,347.5,326.5,327,-24,-0.0684,4671555,13958
2006/6/9,330,337,316,333,6,0.0183,3965004,12075
2006/6/12,328.5,334,323.5,328,-5,-0.015,1774152,5410
2006/6/13,318,318,306,308,-20,-0.061,3572458,11462
2006/6/14,301,306,297,302.5,-5.5,-0.0179,5290324,17534
2006/6/15,305,312,300.5,302,-0.5,-0.0017,3523239,11504
2006/6/16,310,317.5,305.5,308,6,0.0199,4408941,14210
2006/6/19,306.5,311,298.5,299.5,-8.5,-0.0276,2032981,6707
2006/6/20,300,303,280,286,-13.5,-0.0451,3437963,11869
2006/6/21,288.5,293,276,280,-6,-0.021,3273703,11437
2006/6/22,292,299.5,288,299.5,19.5,0.0696,2260188,7649
2006/6/23,300,310,297,305.5,6,0.02,2568328,8486
2006/6/26,301,309,301,306,0.5,0.0016,1899717,6231
2006/6/27,304,305.5,298.5,300,-6,-0.0196,3318065,11006
2006/6/28,295,296.5,286.5,293,-7,-0.0233,2472762,8503
2006/6/29,299,302,296,296,3,0.0102,2837018,9487
2006/6/30,305,305,300,300,4,0.0135,2603569,8595
2006/7/3,301,305.5,298,298.5,-1.5,-0.005,1492649,4946
2006/7/4,301,312,300,306.5,8,0.0268,2429923,7901
2006/7/5,306,307.5,301,301,-5.5,-0.0179,1184707,3897
2006/7/6,300,303.5,297,302,1,0.0033,1630816,5436
2006/7/7,302,309.5,300.5,307.5,5.5,0.0182,2352080,7688
2006/7/10,305,311,304,310.5,3,0.0098,1698884,5523
2006/7/11,309.5,311,303,303,-7.5,-0.0242,1755804,5711
2006/7/12,305,310,301,301,-2,-0.0066,1773678,5810
2006/7/13,299.5,303.5,298.5,299.5,-1.5,-0.005,1204360,4012
2006/7/14,292,294.5,288,288,-11.5,-0.0384,2055068,7087
2006/7/17,286,288,274,277.5,-10.5,-0.0365,1880755,6769
2006/7/18,279,284.5,279,281.5,4,0.0144,843060,2991
2006/7/19,285,286,278,278,-3.5,-0.0124,1055694,3735
2006/7/20,288,290,285.5,289,11,0.0396,1407135,4884
2006/7/21,285,286,283,286,-3,-0.0104,1063543,3737
2006/7/24,283.5,286,280,286,0,0,591078,2085
2006/7/25,291,296,291,292,6,0.021,1437226,4896
2006/7/26,292,294.5,287,287,-5,-0.0171,1153030,3983
2006/7/27,287,301,287,299,12,0.0418,2011990,6821
2006/7/28,298,307,296.5,300,1,0.0033,2195742,7263
2006/7/31,306,306.5,298,298.5,-1.5,-0.005,1801606,5971
2006/8/1,297,300.5,291,295,-3.5,-0.0117,2773193,9398
2006/8/2,261,266.5,259,264,-31,-0.1051,2658488,10114
2006/8/3,263.5,267.5,260,260,-4,-0.0152,2170816,8243
2006/8/4,260,273,260,268,8,0.0308,2828458,10607
2006/8/7,268,276.5,266,275,7,0.0261,2423065,8896
2006/8/8,282,282,277,280,5,0.0182,1639414,5865
2006/8/9,280,285,278.5,285,5,0.0179,1970177,6992
2006/8/10,284,289,284,285,0,0,1828837,6382
2006/8/11,286,287.5,282,284.5,-0.5,-0.0018,1271815,4470
2006/8/14,286,289.5,285,285.5,1,0.0035,1094066,3815
2006/8/15,286,288.5,284,288.5,3,0.0105,1194449,4156
2006/8/16,293.5,297,292,294,5.5,0.0191,2368986,8030
2006/8/17,297.5,308,296.5,300,6,0.0204,4248738,14135
2006/8/18,306,308,301,301,1,0.0033,1836088,6036
2006/8/21,301,302,283,283.5,-17.5,-0.0581,2053940,7059
2006/8/22,285,296,285,293,9.5,0.0335,1614788,5552
2006/8/23,292,295.5,285,295,2,0.0068,1638509,5627
2006/8/24,293.5,302,293,295.5,0.5,0.0017,1551551,5204
2006/8/25,298.5,300,290,290,-5.5,-0.0186,1213252,4137
2006/8/28,290,290,285.5,290,0,0,1015121,3522
2006/8/29,294.5,294.5,290,290,0,0,835195,2854
2006/8/30,294,300.5,293,299.5,9.5,0.0328,1637816,5505
2006/8/31,305,307,300,300,0.5,0.0017,2537780,8339
2006/9/1,303,318,303,316,16,0.0533,4260115,13593
2006/9/4,321,332,320.5,327,11,0.0348,4052065,12425
2006/9/5,328,328.5,320,321.5,-5.5,-0.0168,1882099,5837
2006/9/6,320,327.5,318,321.5,0,0,2105111,6527
2006/9/7,319.5,330,319.5,330,8.5,0.0264,3387348,10357
2006/9/8,331,335,327.5,335,5,0.0152,3205817,9665
2006/9/11,335.5,339,326,327,-8,-0.0239,2929157,8783
2006/9/12,327,328.5,320,321,-6,-0.0183,1908271,5910
2006/9/13,328,328,314,317,-4,-0.0125,2109544,6619
2006/9/14,320,320,307.5,310,-7,-0.0221,1923963,6148
2006/9/15,309.5,318,309.5,318,8,0.0258,1790393,5707
2006/9/18,324,331,322,328,10,0.0314,3222761,9847
2006/9/19,326,327,321,321,-7,-0.0213,1988770,6145
2006/9/20,321,325,318,324,3,0.0093,2271951,7056
2006/9/21,328,330,318.5,318.5,-5.5,-0.017,2142578,6620
2006/9/22,318.5,322.5,318,319,0.5,0.0016,1613170,5048
2006/9/25,318,320,311.5,315,-4,-0.0125,1357737,4315
2006/9/26,317.5,318.5,312,312,-3,-0.0095,1555009,4934
2006/9/27,317,319.5,314.5,318,6,0.0192,1781303,5616
2006/9/28,319.5,319.5,310,311.5,-6.5,-0.0204,1684439,5367
2006/9/29,312.5,316.5,312.5,314,2.5,0.008,938423,2984
2006/10/2,315,319,312.5,319,5,0.0159,1633803,5183
2006/10/3,318,320,316,318.5,-0.5,-0.0016,1316973,4135
2006/10/4,320,325.5,320,323,4.5,0.0141,2633421,8151
2006/10/5,330,336.5,327.5,333.5,10.5,0.0325,4424474,13333
2006/10/11,337,346,335.5,343,9.5,0.0285,4321599,12664
2006/10/12,343,344,334.5,334.5,-8.5,-0.0248,3298074,9739
2006/10/13,341,341,331.5,332.5,-2,-0.006,2509040,7495
2006/10/14,335,335,326.5,331.5,-1,-0.003,897782,2712
2006/10/16,337,338.5,333,337,5.5,0.0166,2168123,6455
2006/10/17,330,335,321,321,-16,-0.0475,2141938,6557
2006/10/18,317,318,308,311,-10,-0.0312,2548563,8162
2006/10/19,310,315.5,307,309.5,-1.5,-0.0048,1507847,4855
2006/10/20,314,314.5,311.5,312,2.5,0.0081,965549,3086
2006/10/23,316,319,312,319,7,0.0224,1201696,3806
2006/10/24,320,330,320,326.5,7.5,0.0235,2957279,9053
2006/10/25,329,332,325,325,-1.5,-0.0046,1469715,4485
2006/10/26,330,331.5,329,329,4,0.0123,1908771,5785
2006/10/27,330,331,326,328.5,-0.5,-0.0015,701369,2140
2006/10/30,325,327,323.5,326,-2.5,-0.0076,994998,3058
2006/10/31,330,330,322,324.5,-1.5,-0.0046,1174576,3625
2006/11/1,325,329,325,326.5,2,0.0062,1059482,3240
2006/11/2,324.5,328.5,322.5,326.5,0,0,965993,2960
2006/11/3,326.5,331,326.5,328,1.5,0.0046,2075231,6306
2006/11/6,320,323,318,318.5,-9.5,-0.029,1601600,5005
2006/11/7,321,322.5,320,320,1.5,0.0047,1101403,3432
2006/11/8,320,324.5,318,320,0,0,1861169,5797
2006/11/9,323.5,324,315,315,-5,-0.0156,1488238,4670
2006/11/10,317,317.5,313,315,0,0,1022427,3249
2006/11/13,317.5,317.5,308.5,309,-6,-0.019,1219445,3922
2006/11/14,309,311,307.5,310,1,0.0032,1387006,4482
2006/11/15,314,317.5,314,317,7,0.0226,1477046,4674
2006/11/16,322,327.5,321,322.5,5.5,0.0174,1973723,6083
2006/11/17,327.5,327.5,323,323,0.5,0.0016,1387202,4257
2006/11/20,328,329.5,325,327.5,4.5,0.0139,1742388,5315
2006/11/21,327.5,333.5,325.5,331,3.5,0.0107,1920319,5820
2006/11/22,332,332,327,327,-4,-0.0121,721445,2198
2006/11/23,328,329,323,324,-3,-0.0092,1003117,3084
2006/11/24,325,325.5,320,324,0,0,830518,2571
2006/11/27,333,339,329,333.5,9.5,0.0293,2562011,7653
2006/11/28,332,332,327,329.5,-4,-0.012,1038492,3152
2006/11/29,333,333,325,327,-2.5,-0.0076,1452153,4425
2006/11/30,329.5,331,326,331,4,0.0122,894694,2723
2006/12/1,331,338,331,333,2,0.006,2183707,6522
2006/12/4,334.5,338.5,329,337.5,4.5,0.0135,1472877,4419
2006/12/5,340,350.5,338.5,347,9.5,0.0281,4206698,12230
2006/12/6,350,353,345,350.5,3.5,0.0101,2580411,7371
2006/12/7,349,349,339,340.5,-10,-0.0285,1681845,4905
2006/12/8,340,340,333,336,-4.5,-0.0132,945986,2817
2006/12/11,335,336,331,335,-1,-0.003,714894,2148
2006/12/12,334,334,320,326,-9,-0.0269,1478359,4533
2006/12/13,324.5,327.5,313.5,326,0,0,1734943,5417
2006/12/14,327.5,334.5,322.5,331.5,5.5,0.0169,1823049,5510
2006/12/15,335,336,332.5,335.5,4,0.0121,1205273,3601
2006/12/18,334,342,334,336,0.5,0.0015,1458692,4315
2006/12/19,336,341,331,331,-5,-0.0149,1134232,3385
2006/12/20,333.5,336.5,332.5,336,5,0.0151,1074168,3209
2006/12/21,335,336,330.5,331.5,-4.5,-0.0134,700128,2099
2006/12/22,330.5,334.5,330.5,334,2.5,0.0075,505633,1521
2006/12/25,334,334,331,331,-3,-0.009,478982,1442
2006/12/26,333,338,333,336,5,0.0151,965807,2877
2006/12/27,337,343,334.5,335.5,-0.5,-0.0015,1205438,3551
2006/12/28,340,341,337,340,4.5,0.0134,926687,2732
2006/12/29,340,341,336,337,-3,-0.0088,1054692,3116
2007/1/2,338,360.5,338,360.5,23.5,0.0697,4241630,11894
2007/1/3,363,379.5,362.5,374,13.5,0.0374,6251166,16866
2007/1/4,375,384,374,379,5,0.0134,3382173,8919
2007/1/5,381,383,372,373,-6,-0.0158,2307800,6151
2007/1/8,370,370,359,359,-14,-0.0375,2454019,6735
2007/1/9,360,364,358,358.5,-0.5,-0.0014,1728247,4794
2007/1/10,354,361,350,361,2.5,0.007,2009653,5657
2007/1/11,364,372,349,355,-6,-0.0166,4126254,11486
2007/1/12,358,363,354,355,0,0,2446604,6837
2007/1/15,358.5,367.5,354,365,10,0.0282,1825696,5059
2007/1/16,367,376,367,367,2,0.0055,2708852,7295
2007/1/17,365,372.5,362,371,4,0.0109,1537202,4162
2007/1/18,374,382,370.5,381.5,10.5,0.0283,2978039,7856
2007/1/19,379,386,378,378.5,-3,-0.0079,1989996,5217
2007/1/22,380.5,381.5,377.5,380,1.5,0.004,1662272,4377
2007/1/23,379,381,372,372.5,-7.5,-0.0197,2053000,5459
2007/1/24,379,382.5,377,377,4.5,0.0121,1999389,5271
2007/1/25,379,380.5,371,375,-2,-0.0053,1279135,3407
2007/1/26,370,375.5,368.5,370,-5,-0.0133,1685471,4547
2007/1/29,370,370,359.5,362,-8,-0.0216,2162732,5969
2007/1/30,367,370,362,368,6,0.0166,2547843,6964
2007/1/31,368,368,354,359,-9,-0.0245,2084521,5793
2007/2/1,362,363,352.5,359,0,0,980764,2732
2007/2/2,362,367.5,360,360.5,1.5,0.0042,1656167,4559
2007/2/5,360.5,360.5,356.5,359,-1.5,-0.0042,1095462,3058
2007/2/6,362,362.5,358,362,3,0.0084,1236747,3433
2007/2/7,367,375,365,372,10,0.0276,2580832,6956
2007/2/8,373,375,368,372,0,0,1201599,3235
2007/2/9,372,373,364,364,-8,-0.0215,1467446,3995
2007/2/12,361,362.5,352,355.5,-8.5,-0.0234,1972090,5544
2007/2/13,355.5,359,352.5,353.5,-2,-0.0056,1028599,2898
2007/2/14,356,363.5,355,363,9.5,0.0269,2006889,5559
2007/2/26,369,372,367,367,4,0.011,2121039,5733
2007/2/27,368.5,372.5,366,370,3,0.0082,1500420,4060
2007/3/1,365,367.5,356,360,-10,-0.027,3221170,8900
2007/3/2,358,359.5,352.5,354.5,-5.5,-0.0153,1754041,4928
2007/3/3,352,355.5,342,349.5,-5,-0.0141,1626110,4663
2007/3/5,346,346,325.5,326.5,-23,-0.0658,2682605,8040
2007/3/6,329,334.5,326,332.5,6,0.0184,1738073,5258
2007/3/7,339,339,332,332,-0.5,-0.0015,1498586,4475
2007/3/8,332.5,343.5,332.5,343,11,0.0331,1894520,5557
2007/3/9,346,347,339,340,-3,-0.0087,1016285,2978
2007/3/12,342,343,338,338,-2,-0.0059,831508,2442
2007/3/13,338,355,338,355,17,0.0503,2555071,7328
2007/3/14,346,352,346,349,-6,-0.0169,1767626,5065
2007/3/15,355,364,354.5,360,11,0.0315,2068278,5751
2007/3/16,363.5,366,355,355,-5,-0.0139,1412907,3925
2007/3/19,358,359,353,354,-1,-0.0028,502510,1414
2007/3/20,357,360,352.5,353.5,-0.5,-0.0014,929472,2612
2007/3/21,357,363.5,354,362,8.5,0.024,1076316,2990
2007/3/22,373,378,370,373,11,0.0304,3907399,10466
2007/3/23,373,376,368,375.5,2.5,0.0067,1744596,4669
2007/3/26,375.5,376,371,373.5,-2,-0.0053,1248468,3345
2007/3/27,375,382,375,375,1.5,0.004,2454620,6481
2007/3/28,375,378,366,366,-9,-0.024,1578419,4260
2007/3/29,361.5,377,361.5,375,9,0.0246,1657794,4468
2007/3/30,378,382,373.5,380,5,0.0133,1713329,4523
2007/4/2,384.5,385,376,376,-4,-0.0105,1176110,3089
2007/4/3,376,386,375.5,386,10,0.0266,2188470,5719
2007/4/4,387,389.5,383,385,-1,-0.0026,1754408,4539
2007/4/9,385,388,382,387.5,2.5,0.0065,1138104,2952
2007/4/10,390,392,386,392,4.5,0.0116,1007094,2586
2007/4/11,395,395,389,393.5,1.5,0.0038,1680431,4286
2007/4/12,391,400,390,397.5,4,0.0102,1997556,5036
2007/4/13,398,399,389,389,-8.5,-0.0214,1007584,2568
2007/4/14,389,391,386,391,2,0.0051,546797,1406
2007/4/16,395,402,388.5,390,-1,-0.0026,1983250,5024
2007/4/17,390,393,378,384,-6,-0.0154,1743756,4522
2007/4/18,384,393.5,382,392,8,0.0208,1182243,3039
2007/4/19,390,392,382,382,-10,-0.0255,1598198,4145
2007/4/20,385,389,384,388,6,0.0157,651480,1682
2007/4/23,394.5,402,391,400,12,0.0309,2261695,5680
2007/4/24,400,411,398,409,9,0.0225,2480384,6107
2007/4/25,408,413.5,406.5,409.5,0.5,0.0012,1723266,4206
2007/4/26,415,415,406,406,-3.5,-0.0085,1244906,3042
2007/4/27,407,412,405.5,406,0,0,1277310,3129
2007/4/30,406,418,406,418,12,0.0296,2983572,7203
2007/5/2,419,432,414,431,13,0.0311,2845918,6698
2007/5/3,434,435,421.5,431.5,0.5,0.0012,2461319,5732
2007/5/4,443,461.5,443,461,29.5,0.0684,5022833,10987
2007/5/7,468,480,465,470,9,0.0195,3218576,6811
2007/5/8,460.5,474.5,460.5,473,3,0.0064,1708139,3660
2007/5/9,473,474,453,456,-17,-0.0359,3094526,6693
2007/5/10,460,472,460,470,14,0.0307,2350097,5050
2007/5/11,468,475,463.5,472,2,0.0043,1552730,3301
2007/5/14,475.5,500,471.5,499.5,27.5,0.0583,4603265,9421
2007/5/15,495,496.5,477,480.5,-19,-0.038,3090980,6351
2007/5/16,480.5,484,467,470.5,-10,-0.0208,3455380,7293
2007/5/17,473.5,482,466,466,-4.5,-0.0096,2745006,5792
2007/5/18,473,475,469,471.5,5.5,0.0118,2940686,6232
2007/5/21,475,483,475,475,3.5,0.0074,2766569,5780
2007/5/22,482.5,495,478,493,18,0.0379,3307433,6760
2007/5/23,498.5,504,485,486,-7,-0.0142,3139633,6339
2007/5/24,497,520,494,518,32,0.0658,6922845,13538
2007/5/25,513,530,508,527,9,0.0174,3890800,7503
2007/5/28,530,532,510,512,-15,-0.0285,2982037,5755
2007/5/29,517,528,510,518,6,0.0117,3414002,6552
2007/5/30,518,525,515,519,1,0.0019,2277638,4382
2007/5/31,525,532,519,523,4,0.0077,3455851,6575
2007/6/1,526,536,525,531,8,0.0153,4163272,7833
2007/6/4,535,540,531,535,4,0.0075,2905954,5427
2007/6/5,533,533,518,520,-15,-0.028,4676186,8918
2007/6/6,525,531,509,518,-2,-0.0038,3721662,7129
2007/6/7,518,526,512,525,7,0.0135,4134461,7926
2007/6/8,515,522,515,518,-7,-0.0133,2666783,5142
2007/6/11,523,525,518,521,3,0.0058,2833530,5428
2007/6/12,520,521,501,505,-16,-0.0307,4252387,8357
2007/6/13,502,510,486.5,490,-15,-0.0297,4190812,8421
2007/6/14,498,512,498,506,16,0.0327,5095986,10108
2007/6/15,510,528,509,525,19,0.0375,5494723,10590
2007/6/20,525,525,498.5,513,-12,-0.0229,8192712,16119
2007/6/21,507,507,492,495.5,-17.5,-0.0341,8071428,16158
2007/6/22,491,506,488,505,9.5,0.0192,3532904,7064
2007/6/23,502,507,494.5,496.5,-8.5,-0.0168,1685567,3374
2007/6/25,503,518,503,512,15.5,0.0312,4741053,9242
2007/6/26,517,518,507,509,-3,-0.0059,2123586,4147
2007/6/27,509,512,499,505,-4,-0.0079,1947191,3860
2007/6/28,512,514,504,506,1,0.002,1891781,3725
2007/6/29,512,520,506,512,6,0.0119,4074635,7930
2007/7/2,515,516,510,513,1,0.002,1391827,2718
2007/7/3,519,530,517,517,4,0.0078,2976863,5692
2007/7/4,522,553,522,549,32,0.0619,6421749,11963
2007/7/5,555,585,555,576,27,0.0492,6163262,10844
2007/7/6,581,595,567,592,16,0.0278,5900316,10095
2007/7/9,598,622,593,622,30,0.0507,4537399,7460
2007/7/10,624,626,606,616,-6,-0.0096,3567064,5779
2007/7/11,610,614,597,598,-18,-0.0292,4184257,6948
2007/7/12,600,608,576,576,-22,-0.0368,6429343,10980
2007/7/13,586,596,580,589,13,0.0226,4481594,7612
2007/7/16,588,588,565,566,-23,-0.039,3518251,6153
2007/7/17,567,585,556,585,19,0.0336,3227969,5617
2007/7/18,585,599,575,575,-10,-0.0171,3237287,5495
2007/7/19,581,599,581,599,24,0.0417,3188606,5403
2007/7/20,603,615,603,613,14,0.0234,2610550,4283
2007/7/23,612,626,605,619,6,0.0098,3180871,5151
2007/7/24,622,628,605,628,9,0.0145,6221069,10106
2007/7/25,595,610,585,599,-29,-0.0462,5964090,9983
2007/7/26,610,620,582,583,-16,-0.0267,4458428,7473
2007/7/27,565,576,559,559,-24,-0.0412,4555786,8054
2007/7/30,551,572,550,555,-4,-0.0072,4584290,8198
2007/7/31,570,593,562,593,38,0.0685,5834852,10052
2007/8/1,598,615,569,569,-24,-0.0405,6873424,11554
2007/8/2,607,607,570,590,21,0.0369,5854147,9986
2007/8/3,615,618,593,600,10,0.0169,8444341,13905
2007/8/6,576,584,573,575,-25,-0.0417,3261718,5640
2007/8/7,584,586,547,550,-25,-0.0435,6230405,11157
2007/8/8,556,588,556,580,30,0.0545,5161617,8974
2007/8/9,580,581,560,573,-7,-0.0121,6145001,10751
2007/8/10,540,557,540,548,-25,-0.0436,4521698,8242
2007/8/13,550,556,530,530,-18,-0.0328,3626339,6743
2007/8/14,530,530,505,512,-18,-0.034,3762606,7268
2007/8/15,501,506,477,486,-26,-0.0508,6501085,13242
2007/8/16,477,497,475,488,2,0.0041,7408757,15182
2007/8/17,500,508,493,499,11,0.0225,7604742,15190
2007/8/20,532,532,507,507,8,0.016,7061349,13654
2007/8/21,507,511,483,487.5,-19.5,-0.0385,4137219,8320
2007/8/22,490,505,490,505,17.5,0.0359,3621105,7254
2007/8/23,525,539,522,530,25,0.0495,4557572,8609
2007/8/24,535,539,525,526,-4,-0.0075,4043031,7624
2007/8/27,546,546,527,530,4,0.0076,4225885,7869
2007/8/28,529,542,529,540,10,0.0189,3065521,5726
2007/8/29,527,538,527,538,-2,-0.0037,3041713,5715
2007/8/30,547,564,539,559,21,0.039,4435632,8061
2007/8/31,565,570,556,560,1,0.0018,5379365,9562
2007/9/3,563,572,556,556,-4,-0.0071,3081703,5473
2007/9/4,562,574,560,564,8,0.0144,4496593,7916
2007/9/5,574,588,572,576,12,0.0213,6064173,10458
2007/9/6,579,600,571,600,24,0.0417,5506747,9365
2007/9/7,601,604,587,590,-10,-0.0167,4240402,7141
2007/9/10,592,611,590,600,10,0.0169,6591085,10984
2007/9/11,619,624,597,600,0,0,7800373,12775
2007/9/12,609,609,590,590,-10,-0.0167,4537001,7613
2007/9/13,598,598,585,591,1,0.0017,3702017,6252
2007/9/14,595,603,595,596,5,0.0085,4329252,7231
2007/9/17,599,600,567,570,-26,-0.0436,4339737,7510
2007/9/19,587,587,555,560,-10,-0.0175,6553168,11570
2007/9/20,570,579,550,553,-7,-0.0125,5309470,9416
2007/9/21,557,575,556,573,20,0.0362,3582752,6348
2007/9/26,572,582,565,580,7,0.0122,3611925,6282
2007/9/27,590,597,585,588,8,0.0138,3892630,6580
2007/9/28,593,595,587,588,0,0,2900633,4902
2007/9/29,590,596,586,596,8,0.0136,1611819,2721
2007/10/1,600,607,590,591,-5,-0.0084,2814787,4707
2007/10/2,600,615,597,610,19,0.0321,7003066,11553
2007/10/3,617,625,613,620,10,0.0164,7621875,12305
2007/10/4,615,619,604,604,-16,-0.0258,4699096,7697
2007/10/5,608,615,581,581,-23,-0.0381,7190882,12117
2007/10/8,587,594,585,590,9,0.0155,3750359,6364
2007/10/9,595,595,575,594,4,0.0068,3457479,5926
2007/10/11,594,607,592,599,5,0.0084,5517708,9179
2007/10/12,590,593,570,570,-29,-0.0484,4792313,8252
2007/10/15,575,578,563,574,4,0.007,2358619,4135
2007/10/16,589,605,581,603,29,0.0505,7398343,12394
2007/10/17,605,620,603,612,9,0.0149,7785439,12751
2007/10/18,620,623,612,612,0,0,4127876,6678
2007/10/19,615,621,604,607,-5,-0.0082,4169314,6820
2007/10/22,581,593,581,590,-17,-0.028,4131127,7039
2007/10/23,600,625,598,620,30,0.0508,7986243,13010
2007/10/24,630,655,612,612,-8,-0.0129,11424557,17938
2007/10/25,628,640,618,640,28,0.0458,6958196,11030
2007/10/26,649,649,628,638,-2,-0.0031,5778561,9083
2007/10/29,647,649,638,638,0,0,3883067,6029
2007/10/30,648,656,640,640,2,0.0031,4828302,7457
2007/10/31,651,651,623,633,-7,-0.0109,6223991,9818
2007/11/1,640,647,631,637,4,0.0063,5184529,8122
2007/11/2,593,593,593,593,-44,-0.0691,1673359,2822
2007/11/5,552,552,552,552,-41,-0.0691,1975016,3578
2007/11/6,514,536,514,522,-30,-0.0543,24604921,47053
2007/11/7,523,530,506,521,-1,-0.0019,12476400,24012
2007/11/8,510,516,501,507,-14,-0.0269,8824756,17331
2007/11/9,510,517,496,500,-7,-0.0138,9298484,18455
2007/11/12,489,503,488,501,1,0.002,6631744,13348
2007/11/13,501,511,500,501,0,0,4554172,9019
2007/11/14,520,530,513,527,26,0.0519,6384159,12209
2007/11/15,523,524,508,508,-19,-0.0361,5060173,9842
2007/11/16,495,503,495,500,-8,-0.0157,4633309,9295
2007/11/19,503,508,496,496,-4,-0.008,2278847,4534
2007/11/20,488,500,476,500,4,0.0081,5677417,11686
2007/11/21,495,495,475,475,-25,-0.05,6806905,14012
2007/11/22,470,473,450,451,-24,-0.0505,9851532,21389
2007/11/23,453,458,436,437,-14,-0.031,6362353,14180
2007/11/26,447,458,437,452,15,0.0343,7306044,16267
2007/11/27,422,445,422,441.5,-10.5,-0.0232,5606957,12904
2007/11/28,443,452,431,431,-10.5,-0.0238,3897123,8790
2007/11/29,425,428.5,403,405,-26,-0.0603,15384604,37070
2007/11/30,409,424.5,407,420,15,0.037,8594482,20554
2007/12/3,427,433.5,423,426,6,0.0143,4352786,10173
2007/12/4,426,432,424.5,430,4,0.0094,3151118,7352
2007/12/5,425,443.5,425,440,10,0.0233,4583899,10497
2007/12/6,447,447,425,427.5,-12.5,-0.0284,4227934,9676
2007/12/7,431.5,435,425,428.5,1,0.0023,3373566,7842
2007/12/10,427,428.5,422,424.5,-4,-0.0093,2519185,5924
2007/12/11,420.5,423,406,412,-12.5,-0.0294,4515890,10933
2007/12/12,401,408,392,395,-17,-0.0413,5058677,12703
2007/12/13,390,402,385,385,-10,-0.0253,6475943,16494
2007/12/14,393,394,360,370.5,-14.5,-0.0377,8272217,21994
2007/12/17,372,378.5,370,370,-0.5,-0.0013,4620069,12323
2007/12/18,372,388,358,380,10,0.027,5748963,15425
2007/12/19,390,406.5,387,403,23,0.0605,5355704,13513
2007/12/20,405,406,388,391,-12,-0.0298,3406892,8547
2007/12/21,399,408,392,404,13,0.0332,3054121,7608
2007/12/24,422,430,420,428,24,0.0594,3604019,8446
2007/12/25,427,429,421,423,-5,-0.0117,2080711,4899
2007/12/26,393.5,393.5,393.5,393.5,-29.5,-0.0697,954280,2425
2007/12/27,393.5,408,393.5,400.5,7,0.0178,5786342,14440
2007/12/28,400.5,412,388,402.5,2,0.005,6102722,15254
2007/12/31,404.5,421,399.5,421,18.5,0.046,4849965,11868
2008/1/2,421,429,410,410,-11,-0.0261,5502399,13110
2008/1/3,391.5,397,387,390,-20,-0.0488,5832142,14875
2008/1/4,384.5,389,363.5,367,-23,-0.059,8007282,21429
2008/1/7,344,346,341.5,341.5,-25.5,-0.0695,5124473,14961
2008/1/8,328,335,320.5,323.5,-18,-0.0527,8037202,24544
2008/1/9,320,338.5,320,337.5,14,0.0433,5799567,17440
2008/1/10,343,357.5,342,343,5.5,0.0163,6070509,17355
2008/1/11,353,355.5,346,348,5,0.0146,3422374,9751
2008/1/14,356,358,331,334.5,-13.5,-0.0388,4986918,14442
2008/1/15,335.5,350.5,332,337,2.5,0.0075,4252131,12466
2008/1/16,327,334,321,321,-16,-0.0475,4850962,14854
2008/1/17,332,334,322,324,3,0.0093,4196600,12831
