MovieID,Year,Class,G,PG,PG-13,R,NR,CompHigh,CompMed,CompLow,StarHigh,StarMed,StarLow,Sci_Fi,HistEpicDrama,ModernDrama,Political,Thriller,Horror,Comedy,Cartoon,Action,Docum,TechHigh,TechMedium,TechLow,Sequel,NoScreens,Revenue,LT_1M,1M_10M,10M_20M,20M_40M,40M_65M,65M_100M,100M_150M,150M_200M,GT_200M
38,2005,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3006,,0,0,0,0,0,0,1,0,0
39,2004,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1943,40153000,0,0,0,0,1,0,0,0,0
40,2004,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2463,21126000,0,0,0,1,0,0,0,0,0
41,2004,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2704,28108000,0,0,0,1,0,0,0,0,0
42,2004,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2521,10412000,0,0,1,0,0,0,0,0,0
43,2005,9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3858,,0,0,0,0,0,0,0,0,1
44,2004,6,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2986,77776000,0,0,0,0,0,1,0,0,0
45,2004,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2503,29227000,0,0,0,1,0,0,0,0,0
46,2004,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,550,5006000,0,1,0,0,0,0,0,0,0
47,2005,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,656,,0,1,0,0,0,0,0,0,0
