firmID,RET
600000,1.170005
600001,-0.471822
600002,-0.608347
600003,-1.757279
600004,0.386796
600005,2.093271
600006,0.746446
600007,0.028687
600008,0.838099
600009,1.63823
600010,-0.295602
600011,0.947555
600012,0.668943
600015,2.618571
600016,1.293631
600019,0.677675
600020,0.361668
600021,-0.045551
600022,3.945262
600026,2.542019
600027,2.810753
600028,1.818799
600029,2.905814
600030,3.285116
600031,3.824042
600033,0.852528
600035,1.24592
600036,2.064795
600037,1.345761
600038,1.655219
600039,-0.578399
600048,8.382125
600050,0.919524
600051,-1.352094
600052,-0.860026
600053,-0.852798
600054,1.006961
600055,-0.363492
600056,-0.033624
600057,-1.264321
600058,0.591723
600059,0.102142
600060,-1.585521
600061,-0.024912
600062,1.533054
600063,0.347749
600064,-0.224778
600066,1.650801
600067,0.659731
600068,-0.506827
600069,-0.689286
600070,-1.414058
600071,-1.427436
600072,1.067815
600073,-0.654324
600074,-1.484124
600075,0.271111
600076,-1.485249
600077,-1.733397
600078,-0.37303
600079,-1.296983
600080,-1.801737
600081,-0.676179
600082,0.096476
600083,-0.558961
600084,-0.024099
600085,0.828541
600086,-1.064679
600087,0.932098
600088,-0.148903
600089,0.559359
600090,-1.153647
600091,-2.030064
600093,-0.787322
600094,-1.484444
600095,-1.491688
600096,0.945685
600097,0.020579
600098,-0.690857
600099,-0.586836
600100,-0.343691
600101,-1.255401
600102,-1.056529
600103,-0.57138
600104,1.053225
600105,-1.35303
600106,0.169471
600107,-0.419738
600108,-0.278654
600109,0.294719
600110,1.228848
600111,0.3234
600112,0.171702
600113,-1.596739
600114,-0.504819
600115,0.195272
600116,-0.703294
600117,0.385154
600118,-0.792363
600119,-1.275536
600120,-0.807909
600121,-1.210833
600122,0.764178
600123,0.780836
600125,0.056431
600126,-0.54848
600127,-0.543291
600128,-0.203126
600129,0.067418
600130,-1.501012
600131,-0.932743
600132,0.612912
600133,-2.501006
600135,-1.557146
600136,-1.637466
600137,-2.632412
600138,-0.380999
600139,-1.808428
600141,-0.10962
600143,4.486349
600145,-0.570877
600146,-1.307636
600148,-1.752274
600149,-1.119046
600150,3.03647
600151,0.419669
600152,-1.284055
600153,0.481022
600155,-1.429135
600156,-2.116704
600157,-1.462271
600158,0.879645
600159,-0.572623
600160,-0.4973
600161,-0.371516
600162,0.158633
600163,-1.681281
600165,-1.358742
600166,0.416097
600167,-0.50425
600168,-0.812085
600169,0.776635
600170,-0.035912
600171,-2.623849
600172,-1.350866
600173,-2.488496
600175,-0.888356
600176,0.836546
600177,0.525628
600178,-0.682688
600179,-1.729175
600180,-1.706421
600182,-0.501767
600183,-0.208375
600184,1.614307
600185,-1.470573
600186,-1.084717
600187,-5.634612
600188,0.407259
600189,0.123021
600190,-1.070037
600191,-0.468311
600192,-0.306318
600193,-0.839011
600195,0.70982
600196,-0.023986
600197,0.406624
600198,-2.380204
600199,-1.096752
600200,-0.673156
600201,0.104253
600202,-0.304679
600203,-1.712031
600206,-1.214742
600207,-2.751624
600208,-0.486794
600209,-1.304491
600210,-0.274814
600211,-0.99737
600212,-1.77679
600213,-4.057826
600215,-1.513336
600216,0.057498
600217,-0.44584
600218,-1.607855
600219,-0.105161
600220,-0.081427
600221,-0.017693
600222,-1.244202
600223,-1.876452
600225,-2.277227
600226,-0.98218
600227,-0.166554
600228,-1.100979
600229,-0.796659
600230,0.375072
600231,0.050572
600232,-1.267585
600233,-0.650827
600234,-2.976563
600235,-0.030953
600236,-0.249903
600237,-1.184261
600238,-0.185085
600239,-1.57379
600240,-0.429792
600241,-0.664111
600242,-3.06216
600243,-0.993593
600246,-0.80759
600247,-1.062832
600248,-4.294937
600249,2.134679
600250,-0.082807
600251,2.705388
600252,0.912549
600253,-0.805302
600255,-1.339188
600256,-0.477229
600257,0.31271
600258,0.267615
600259,-1.877858
600260,-0.831731
600261,-0.433252
600262,-0.865294
600263,-0.012617
600265,-1.161431
600266,0.097426
600267,-0.241335
600268,-0.9394
600269,0.653612
600270,0.484056
600271,1.294652
600272,-2.488349
600273,-0.107952
600275,-1.26864
600276,1.560832
600277,-1.243212
600278,-0.488322
600279,-0.708002
600280,-0.666449
600281,-1.142445
600282,0.882435
600283,-0.126495
600284,1.352613
600285,0.400628
600287,-0.540248
600288,-1.291432
600289,-0.957438
600290,0.565555
600291,-1.070598
600292,-1.015118
600293,-1.792547
600295,-0.673424
600297,-1.699127
600298,-0.002786
600299,1.080768
600300,-0.016647
600301,0.00147
600302,0.020892
600303,-0.025904
600305,-0.441521
600306,-0.278269
600307,1.717414
600308,1.528505
600309,3.386838
600310,-0.019184
600311,-0.788045
600312,0.088572
600313,-1.516179
600315,1.25902
600316,-0.269455
600317,-1.091942
600318,-2.296543
600319,-1.555631
600320,2.290233
600321,-2.160113
600322,-1.195661
600323,-0.671445
600325,1.272071
600326,-1.040332
600327,0.251944
600328,0.378729
600329,-1.049458
600330,-0.951106
600331,3.281832
600332,-0.434514
600333,-0.961621
600335,-0.076063
600336,-1.117213
600337,-0.016234
600338,-1.310768
600339,-0.633084
600340,-0.672272
600343,-0.667716
600345,-2.173546
600346,-1.228136
600348,3.245162
600350,0.552842
600351,0.111287
600352,1.733726
600353,-1.381853
600354,-2.229667
600355,-3.152614
600356,-1.727293
600357,2.001128
600358,0.025983
600359,-0.826908
600360,-0.791703
600361,1.896825
600362,1.100763
600363,-2.231527
600365,-0.517935
600366,-0.073407
600367,-0.264301
600368,-1.122863
600369,-1.315728
600370,-0.301607
600371,-0.508271
600372,-0.466975
600373,-1.22703
600375,-0.150596
600376,-1.019034
600377,0.165347
600378,-0.215762
600379,-0.966113
600380,-0.112917
600381,-0.548731
600382,0.0344
600383,0.821193
600385,-0.729802
600386,0.275778
600387,1.826692
600388,-0.49017
600389,-0.694237
600390,-1.088058
600391,0.482589
600392,-1.249018
600393,-0.009428
600395,-0.35608
600396,0.196818
600397,-0.396698
600398,-1.275482
600399,-0.473948
600400,-1.145157
600401,1.062589
600403,1.305545
600405,1.088969
600406,2.771227
600408,1.638855
600409,1.844575
600410,2.291339
600415,1.304612
600416,1.106422
600418,0.63451
600419,-2.756733
600420,2.802132
600421,-1.566978
600422,-0.923219
600423,2.76542
600425,0.461053
600426,1.650983
600428,1.329112
600429,-0.473247
600432,2.712937
600433,-0.668043
600435,-0.364125
600436,0.683968
600438,2.384643
600439,2.468896
600444,0.427025
600446,0.514177
600448,-1.573987
600449,1.517152
600452,-0.694403
600455,-0.306788
600456,2.175652
600458,1.678313
600459,-0.203123
600460,-0.494183
600461,-0.117343
600462,-2.276819
600463,-0.125002
600466,-2.990415
600467,1.891751
600468,0.077935
600469,0.893057
600470,0.785564
600475,0.875375
600476,-0.091409
600477,0.017747
600478,1.617583
600479,2.226002
600480,-0.205264
600481,1.263387
600482,4.572918
600483,0.542434
600485,-0.254604
600486,-0.175003
600487,-0.040411
600488,-0.422028
600489,2.70506
600490,-0.007032
600491,1.942175
600493,-0.756904
600495,1.299796
600496,0.194753
600497,3.718431
600498,-1.308754
600499,1.052513
600500,1.320698
600501,-0.009663
600502,-1.960339
600503,-2.321302
600505,-1.409475
600506,-1.707615
600507,1.310839
600508,1.307257
600509,1.748189
600510,-0.098058
600511,1.147162
600512,0.396933
600513,-1.263825
600515,-3.48614
600516,-1.170782
600517,4.122897
600518,0.271186
600519,2.593526
600520,-1.962727
600521,1.742286
600522,-1.06105
600523,-0.656968
600525,0.935355
600526,0.798743
600527,2.083818
600528,0.361915
600529,0.691799
600530,-1.428974
600531,1.523498
600532,-0.98779
600533,-0.118007
600535,0.51335
600536,0.153045
600537,-0.758314
600538,-0.656746
600539,-1.927736
600540,-1.149436
600543,-0.321153
600545,1.177805
600546,2.119962
600547,4.290513
600548,0.644377
600549,2.097044
600550,1.106715
600551,-1.75446
600552,-3.154815
