ARG,AUS,AUT,BEL,BRA,CAN,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,GRE,HKG,HUN,IDN,IND,IRL,ISR,ITA,JPN,KOR,MAR,MEX,MYS,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,RUS,SGP,SWE,SWZ,TAW,THA,TUR,USA,ZAF
0.08171,0.017932,0.024096,0.051921,-0.019773,0.007808,0.060864,-0.047512,0.094026,0.02293,0.028964,0.023383,0.001349,0.043206,-0.170946,0.039928,0.023483,0.048371,0.029381,0.038317,0.089178,0.039776,0.020886,0.04019,0.090278,0.04938,-0.041654,0.037311,0.026067,0.055454,0.040326,0.024133,0.009654,0.0937,0.069967,0.069103,-0.024035,0.029809,0.109026,0.069866,-0.02376,0.037529,0.076446,0.069183,-0.03521,0.0133,0.044294
0.112627,0.027402,0.055471,0.019366,0.158413,0.049098,-0.04193,0.142403,-0.025364,0.025551,0.041164,0.031516,-0.080005,0.006063,-0.012869,0.038495,-0.004122,0.058156,0.118728,0.379555,0.123789,-0.101072,0.015107,-0.013097,0.04325,-0.013698,-0.023918,-0.031563,0.110143,0.035103,0.00393,-0.019826,0.006869,0.050685,0.058263,0.096629,0.283432,0.083094,0.020402,0.050939,-0.025608,-0.062945,-0.074482,0.087705,0.163572,0.033387,0.084447
-0.154079,0.028966,-0.00494,-0.013435,-0.046955,-0.010465,-0.013422,0.029213,0.055221,0.064732,0.007716,0.012513,0.033522,0.062338,-0.022571,0.010276,0.005432,0.040946,-0.013784,0.003424,0.016745,0.198869,0.011777,0.039843,-0.010948,-0.018452,-0.021496,0.035489,-0.095965,0.036331,0.019581,0.030236,0.011407,0.086875,-0.025339,-0.016722,0.008086,0.031179,-0.108536,0.009535,0.09206,0.042599,0.018443,-0.059208,0.110543,0.008682,-0.083502
0.035119,-0.006777,-0.00929,-0.026801,-0.017412,0.017877,-0.037932,-0.047082,-0.076311,0.076087,-0.005031,-0.026256,-0.040528,-0.016804,0.001559,0.028067,-0.00827,0.000684,-0.001715,-0.008024,-0.015856,0.010061,0.036211,-0.087406,-0.041446,0.034216,0.021313,0.058033,0.077143,0.06177,0.026989,0.017246,0.009167,-0.086137,-0.019642,-0.019901,-0.01039,0.013039,0.044675,-0.016361,0.021748,0.083066,0.053293,-0.021571,0.021534,0.008414,-0.02224
0.095572,0.04574,0.005491,0.0229,0.01043,0.038917,0.060445,-0.054352,0.121901,0.055397,-0.038302,-0.007881,-0.020537,0.035688,-0.001937,0.016671,0.016618,-0.080294,-0.000356,0.017073,0.078826,0.116481,0.029496,0.056897,0.126779,0.054848,0.110204,0.056378,0.053337,0.050983,0.002381,0.057116,-0.005614,0.010711,0.072278,0.026475,0.046233,-0.033935,0.332935,0.005683,-0.012208,-0.040807,0.223048,0.018174,-0.051418,0.01301,-0.043778
0.020726,-0.01006,0.05215,0.01341,0.073289,0.01424,-0.019273,0.039,-0.053812,0.035264,0.013074,0.001998,0.017492,-0.009965,0.098702,-0.012427,0.008854,0.017227,0.026951,0.101362,-0.030465,-0.038202,0.036583,-0.048535,-0.00697,-0.053295,-0.127779,0.019899,0.005323,-0.04213,0.043326,0.010301,-0.060224,0.11542,-0.045227,0.1057,-0.050359,0.047467,0.313252,-0.051942,0.042291,-0.035058,-0.035474,0.016089,-0.073351,0.024708,-0.026317
0.017853,-0.035864,-0.06402,0.002067,0.047163,-0.029299,0.047802,0.011887,-0.008469,-0.009448,0.019053,0.024896,-0.000738,0.03904,-0.047423,0.016555,-0.008691,-0.016742,-0.026143,0.06506,-0.023412,0.032924,0.011094,-0.030799,0.002447,0.004826,-0.119578,0.025575,-0.01523,0.003736,0.00034,0.000832,0.038893,-0.04006,0.037047,0.017124,0.132092,0.048734,0.352269,-0.036846,0.012072,0.04761,0.124605,-0.058531,0.104192,0.004245,0.006172
-0.148109,-0.05039,-0.023257,0.008585,-0.012297,-0.032614,-0.017189,-0.040904,-0.010385,0.045151,0.001672,0.014424,0.097646,-0.049082,0.010623,-0.02962,0.004091,0.001061,-0.049438,-0.145188,-0.122731,-0.089629,-0.034181,-0.102385,-0.078385,-0.046298,-0.036991,0.032038,-0.067599,-0.063752,-0.018052,-0.048988,0.043305,-0.177541,0.019476,-0.077954,-0.047379,0.010544,-0.297671,-0.080375,-0.043217,-0.021331,-0.084086,-0.155245,-0.159851,-0.046713,-0.086339
-0.016623,0.059794,0.008356,0.006788,0.016657,0.042217,-0.034409,-0.003231,-0.00124,0.06814,0.021648,0.035024,0.039438,0.018916,0.104134,-0.022227,0.047719,0.059504,0.029367,0.18341,0.033465,-0.021484,0.040003,0.050528,-0.009387,-0.046222,-0.054386,0.002438,0.088272,0.052438,0.014655,0.025032,0.022945,-0.040462,0.029615,0.056585,0.08274,0.034318,0.210378,0.021406,0.063477,0.041569,0.040839,0.012383,-0.01731,0.020445,0.009439
0.086365,-0.001306,-0.030497,0.010177,0.018461,0.037453,0.015412,-0.011651,0.060918,-0.069846,0.005402,-0.003972,0.103033,0.022148,0.009092,0.052388,0.02015,-0.012486,0.063334,-0.051186,0.063971,-0.085398,0.040709,0.020916,0.060666,0.033589,-0.012289,0.043608,-0.001638,0.015778,0.023165,0.004429,-0.00707,-0.048466,-0.005602,-0.024542,0.040318,-0.02798,-0.114415,-0.002752,0.039498,-0.025309,0.023502,-0.002655,0.090878,0.052897,0.007333
