"aid","n.word","n.image","journalist"
"A0196",1444,2,"小丑女"
"A0197",1258,1,"小丑女"
"A0198",1039,1,"鋼鐵人"
"A0199",1128,1,"鋼鐵人"
"A0200",1199,1,"鋼鐵人"
"A0201",1212,2,"鋼鐵人"
"A0202",1040,1,"小丑女"
"A0203",1119,1,"鋼鐵人"
"A0204",1079,1,"鋼鐵人"
"A0205",1043,1,"鋼鐵人"
"A0206",1049,1,"小丑女"
"A0207",1168,1,"小丑女"
"A0208",1214,1,"小丑女"
"A0209",1350,1,"鳳凰女"
"A0210",1080,2,"鳳凰女"
"A0211",677,1,"鳳凰女"
"A0212",1006,2,"鋼鐵人"
"A0213",556,1,"鋼鐵人"
"A0214",1202,2,"鋼鐵人"
"A0215",702,1,"鳳凰女"
"A0216",1172,1,"小丑女"
"A0217",1238,1,"小丑女"
"A0218",1173,1,"小丑女"
"A0219",441,1,"鳳凰女"
"A0220",1200,2,"鋼鐵人"
"A0221",1113,2,"鋼鐵人"
"A0222",1181,1,"鋼鐵人"
"A0223",1225,1,"小丑女"
"A0224",1082,1,"鳳凰女"
"A0225",1203,1,"鳳凰女"
"A0226",1120,1,"鳳凰女"
"A0227",1053,1,"小丑女"
"A0228",1100,1,"鳳凰女"
"A0229",1341,1,"鋼鐵人"
"A0230",1279,1,"鋼鐵人"
"A0231",1053,1,"鋼鐵人"
"A0232",539,1,"鳳凰女"
"A0233",1139,1,"鳳凰女"
"A0234",1125,1,"小丑女"
"A0235",854,1,"小丑女"
"A0236",994,1,"小丑女"
"A0237",885,1,"鳳凰女"
"A0238",600,1,"小丑女"
"A0239",1221,1,"鳳凰女"
"A0240",983,1,"鋼鐵人"
"A0241",1201,1,"鳳凰女"
"A0242",NA,NA,"其他"
"A0243",939,1,"小丑女"
"A0245",1164,2,"鋼鐵人"
"A0246",1176,0,"鋼鐵人"
"A0247",1097,1,"鋼鐵人"
"A0248",1174,1,"小丑女"
"A0249",1109,1,"鳳凰女"
"A0250",1209,1,"鳳凰女"
"A0252",1007,0,"小丑女"
"A0253",1067,2,"鋼鐵人"
"A0254",908,1,"鋼鐵人"
"A0255",1279,2,"鋼鐵人"
"A0256",NA,NA,"其他"
"A0257",1118,0,"小丑女"
"A0258",1284,1,"小丑女"
"A0259",948,1,"小丑女"
"A0260",1149,2,"鋼鐵人"
"A0261",1184,1,"鋼鐵人"
"A0262",1074,1,"鋼鐵人"
"A0263",1087,2,"鳳凰女"
"A0264",445,1,"鳳凰女"
"A0265",866,1,"鳳凰女"
"A0266",936,1,"小丑女"
"A0267",1011,1,"小丑女"
"A0268",1122,1,"鋼鐵人"
"A0269",1123,1,"鳳凰女"
"A0270",1038,1,"鳳凰女"
"A0271",1148,1,"鋼鐵人"
"A0272",602,1,"鋼鐵人"
"A0273",1187,1,"小丑女"
"A0274",1066,1,"小丑女"
"A0275",1248,1,"小丑女"
"A0276",612,1,"小丑女"
"A0277",1063,1,"小丑女"
"A0278",971,1,"小丑女"
"A0279",1107,1,"鋼鐵人"
"A0280",958,1,"鋼鐵人"
"A0282",915,1,"鳳凰女"
"A0283",899,1,"鳳凰女"
"A0284",958,1,"鳳凰女"
"A0285",1032,1,"鋼鐵人"
"A0286",1227,1,"鋼鐵人"
"A0287",696,1,"鋼鐵人"
"A0289",1260,1,"緋紅女巫"
"A0290",1055,1,"緋紅女巫"
"A0291",1044,1,"小丑女"
"A0292",1115,1,"小丑女"
"A0293",1181,1,"小丑女"
"A0294",1571,1,"小丑女"
"A0295",1056,2,"緋紅女巫"
"A0296",1321,1,"緋紅女巫"
"A0297",858,1,"小丑女"
"A0298",615,1,"小丑女"
"A0299",1060,1,"小丑女"
"A0300",839,1,"鳳凰女"
"A0301",1197,2,"鳳凰女"
"A0302",893,1,"鳳凰女"
"A0303",1174,2,"鋼鐵人"
"A0304",1325,1,"鋼鐵人"
"A0305",702,1,"緋紅女巫"
"A0306",1216,1,"緋紅女巫"
"A0307",855,1,"小丑女"
"A0308",1249,1,"鋼鐵人"
"A0309",674,1,"鋼鐵人"
"A0310",1253,1,"小丑女"
"A0311",1061,1,"小丑女"
"A0312",1108,1,"緋紅女巫"
"A0313",1271,1,"緋紅女巫"
"A0314",955,1,"緋紅女巫"
"A0315",1250,1,"緋紅女巫"
"A0316",1073,1,"緋紅女巫"
