"aid","n.word","n.image","journalist"
"A0848",1113,1,"鋼鐵人"
"A0849",750,1,"貓女"
"A0850",990,1,"貓女"
"A0851",1005,1,"小丑女"
"A0852",892,1,"鋼鐵人"
"A0853",795,1,"鋼鐵人"
"A0855",759,1,"小丑女"
"A0856",869,1,"鳳凰女"
"A0857",443,1,"鳳凰女"
"A0859",822,1,"貓女"
"A0860",1394,1,"鳳凰女"
"A0861",818,1,"貓女"
"A0862",836,1,"小丑女"
"A0863",906,1,"小丑女"
"A0864",829,1,"貓女"
"A0865",614,1,"鳳凰女"
"A0866",848,1,"小丑女"
"A0867",894,1,"鳳凰女"
"A0868",1051,1,"鋼鐵人"
"A0870",928,1,"貓女"
"A0871",720,1,"鳳凰女"
"A0872",771,1,"小丑女"
"A0874",979,1,"鋼鐵人"
"A0875",902,1,"貓女"
"A0876",871,1,"鳳凰女"
"A0877",1004,1,"其他"
"A0878",758,1,"鳳凰女"
"A0879",963,1,"小丑女"
"A0880",900,1,"貓女"
"A0881",886,1,"鋼鐵人"
"A0882",691,1,"鳳凰女"
"A0883",981,1,"小丑女"
"A0884",862,1,"小丑女"
"A0885",725,1,"貓女"
"A0886",631,1,"鳳凰女"
"A0887",813,1,"鳳凰女"
"A0888",600,1,"小丑女"
"A0889",821,1,"小丑女"
"A0890",902,1,"鋼鐵人"
"A0891",732,1,"鋼鐵人"
"A0893",978,1,"鳳凰女"
"A0894",1202,2,"小丑女"
"A0895",888,1,"鋼鐵人"
"A0896",734,1,"鋼鐵人"
"A0897",883,1,"鳳凰女"
"A0898",591,1,"鳳凰女"
"A0899",745,1,"貓女"
"A0900",597,1,"貓女"
"A0901",892,2,"鋼鐵人"
"A0902",911,1,"小丑女"
"A0903",619,1,"鳳凰女"
"A0904",840,1,"貓女"
"A0905",860,1,"貓女"
"A0906",650,1,"鳳凰女"
"A0907",1619,2,"鋼鐵人"
"A0908",819,1,"小丑女"
"A0909",906,1,"貓女"
"A0910",1057,1,"小丑女"
"A0911",805,1,"貓女"
"A0912",1000,1,"鳳凰女"
"A0913",1281,1,"鋼鐵人"
"A0914",1139,1,"鳳凰女"
"A0915",899,1,"貓女"
"A0916",913,1,"小丑女"
"A0918",865,1,"鳳凰女"
"A0919",1595,3,"鳳凰女"
"A0920",822,1,"貓女"
"A0921",780,1,"鋼鐵人"
"A0922",809,1,"鋼鐵人"
"A0923",867,1,"鋼鐵人"
"A0924",905,1,"鋼鐵人"
"A0925",880,1,"貓女"
"A0926",910,1,"鳳凰女"
"A0927",933,1,"鳳凰女"
"A0928",630,1,"貓女"
"A0929",667,1,"鳳凰女"
"A0930",871,1,"鋼鐵人"
"A0931",663,1,"鳳凰女"
"A0932",646,1,"鳳凰女"
"A0933",800,1,"貓女"
"A0934",705,1,"貓女"
"A0936",575,1,"鋼鐵人"
"A0938",774,1,"鋼鐵人"
"A0939",656,1,"小丑女"
"A0940",710,1,"貓女"
"A0941",762,1,"鳳凰女"
"A0942",785,1,"貓女"
"A0943",889,1,"貓女"
"A0944",855,1,"鳳凰女"
"A0945",714,1,"鳳凰女"
"A0946",854,2,"鋼鐵人"
"A0948",893,1,"貓女"
"A0949",1198,1,"鋼鐵人"
"A0950",911,1,"小丑女"
"A0951",763,1,"鳳凰女"
"A0952",837,1,"鳳凰女"
"A0953",627,1,"貓女"
"A0954",867,1,"貓女"
"A0955",757,1,"鳳凰女"
"A0956",872,1,"鳳凰女"
"A0957",1041,1,"鋼鐵人"
"A0959",981,1,"小丑女"
"A0960",870,1,"小丑女"
"A0961",778,1,"鳳凰女"
"A0962",844,1,"鳳凰女"
"A0963",755,1,"貓女"
"A0964",772,1,"貓女"
"A0965",861,1,"小丑女"
"A0966",822,1,"小丑女"
"A0967",947,2,"鋼鐵人"
"A0968",688,1,"鋼鐵人"
"A0969",692,1,"鳳凰女"
"A0970",816,1,"小丑女"
"A0971",823,1,"貓女"
"A0972",734,1,"小丑女"
"A0973",656,1,"貓女"
"A0975",957,1,"鋼鐵人"
"A0976",947,1,"鋼鐵人"
"A0977",721,1,"鳳凰女"
"A0978",911,1,"小丑女"
"A0979",1237,1,"鋼鐵人"
"A0980",780,1,"鋼鐵人"
"A0981",709,1,"鳳凰女"
"A0982",511,1,"鳳凰女"
"A0983",910,1,"貓女"
"A0984",697,1,"貓女"
"A0986",843,1,"鳳凰女"
"A0987",681,1,"鋼鐵人"
"A0988",862,1,"小丑女"
"A0989",877,1,"鋼鐵人"
"A0990",782,1,"鳳凰女"
"A0992",969,1,"美國隊長"
"A0993",926,1,"鳳凰女"
"A0994",1003,1,"鳳凰女"
"A0995",851,1,"小丑女"
"A0996",893,1,"小丑女"
"A0997",902,1,"鋼鐵人"
"A0998",829,1,"美國隊長"
"A0999",785,1,"鳳凰女"
"A1000",994,1,"鳳凰女"
"A1001",776,1,"小丑女"
"A1003",960,1,"美國隊長"
"A1005",925,1,"暴風女"
"A1006",707,1,"鋼鐵人"
"A1007",1119,1,"暴風女"
"A1008",668,1,"美國隊長"
"A1009",1113,1,"鋼鐵人"
"A1010",851,1,"鋼鐵人"
"A1011",821,1,"鳳凰女"
"A1012",869,1,"鳳凰女"
"A1013",895,1,"鳳凰女"
"A1014",1231,1,"暴風女"
"A1015",1324,2,"暴風女"
"A1016",801,1,"美國隊長"
"A1017",1017,1,"鋼鐵人"
"A1018",781,1,"鳳凰女"
"A1019",1213,1,"暴風女"
"A1021",1276,1,"暴風女"
"A1022",879,1,"鋼鐵人"
"A1023",729,1,"小丑女"
"A1024",745,1,"小丑女"
"A1028",1131,2,"暴風女"
"A1029",997,1,"鋼鐵人"
"A1030",657,1,"鋼鐵人"
"A1031",921,1,"小丑女"
"A1033",818,1,"鋼鐵人"
"A1034",1000,1,"美國隊長"
"A1035",944,1,"暴風女"
"A1036",925,1,"鋼鐵人"
"A1037",908,1,"暴風女"
"A1038",999,1,"暴風女"
"A1039",792,1,"鋼鐵人"
"A1040",875,1,"鋼鐵人"
"A1041",1052,1,"美國隊長"
"A1042",975,1,"小丑女"
"A1043",1488,1,"暴風女"
"A1044",806,1,"鋼鐵人"
"A1045",1120,1,"鋼鐵人"
"A1046",967,2,"美國隊長"
"A1047",832,1,"美國隊長"
"A1048",878,1,"小丑女"
"A1049",889,1,"小丑女"
"A1050",1015,1,"美國隊長"
"A1051",836,1,"暴風女"
"A1053",696,1,"小丑女"
"A1054",584,1,"小丑女"
"A1055",994,1,"暴風女"
"A1058",1073,1,"美國隊長"
"A1059",874,1,"鋼鐵人"
"A1060",1172,1,"鋼鐵人"
"A1061",805,1,"鋼鐵人"
"A1062",1013,1,"暴風女"
"A1063",854,1,"美國隊長"
"A1064",970,1,"鋼鐵人"
"A1065",854,1,"鋼鐵人"
"A1066",988,1,"小丑女"
"A1067",797,1,"小丑女"
"A1069",1038,1,"美國隊長"
"A1070",923,1,"暴風女"
"A1071",730,1,"鋼鐵人"
"A1072",996,1,"美國隊長"
"A1073",900,1,"暴風女"
"A1074",929,1,"鋼鐵人"
"A1075",924,1,"鋼鐵人"
"A1077",803,1,"美國隊長"
"A1078",733,1,"鋼鐵人"
"A1079",695,1,"鋼鐵人"
"A1080",902,1,"暴風女"
"A1081",789,1,"暴風女"
"A1083",957,1,"鋼鐵人"
"A1084",907,1,"美國隊長"
"A1085",827,1,"暴風女"
"A1086",884,1,"美國隊長"
"A1087",780,1,"鋼鐵人"
"A1088",883,1,"鋼鐵人"
"A1089",810,1,"鳳凰女"
"A1090",1157,1,"鋼鐵人"
"A1091",897,1,"鋼鐵人"
"A1093",811,1,"美國隊長"
"A1094",973,1,"暴風女"
"A1095",681,1,"鳳凰女"
"A1096",863,1,"美國隊長"
"A1097",787,1,"暴風女"
"A1098",928,1,"鋼鐵人"
"A1099",991,1,"暴風女"
"A1100",989,1,"鋼鐵人"
"A1101",1012,1,"鋼鐵人"
"A1102",737,1,"暴風女"
"A1103",859,1,"暴風女"
"A1104",854,1,"美國隊長"
"A1105",671,2,"鳳凰女"
"A1106",944,1,"美國隊長"
"A1107",1052,1,"暴風女"
"A1108",909,1,"鋼鐵人"
"A1109",756,1,"美國隊長"
"A1110",825,1,"美國隊長"
"A1111",935,1,"鋼鐵人"
"A1112",605,1,"暴風女"
"A1113",805,1,"暴風女"
"A1114",852,1,"暴風女"
"A1115",977,1,"鋼鐵人"
"A1116",849,1,"美國隊長"
"A1117",1055,1,"鋼鐵人"
"A1118",806,1,"暴風女"
"A1120",949,1,"鋼鐵人"
"A1121",658,1,"鋼鐵人"
"A1122",850,1,"美國隊長"
"A1123",828,1,"美國隊長"
"A1125",774,1,"暴風女"
"A1126",822,1,"美國隊長"
"A1127",608,1,"暴風女"
"A1128",782,1,"暴風女"
"A1129",827,1,"鋼鐵人"
"A1130",778,1,"鋼鐵人"
"A1131",806,1,"美國隊長"
"A1132",705,1,"美國隊長"
"A1133",915,1,"白皇后"
"A1134",657,1,"暴風女"
"A1135",774,1,"鋼鐵人"
"A1136",896,1,"美國隊長"
"A1138",885,1,"鋼鐵人"
"A1139",1016,1,"鋼鐵人"
"A1141",910,1,"鋼鐵人"
"A1142",840,1,"暴風女"
"A1143",701,1,"白皇后"
"A1144",928,1,"美國隊長"
"A1145",982,1,"暴風女"
"A1146",726,1,"暴風女"
"A1147",718,1,"美國隊長"
"A1148",1408,1,"鋼鐵人"
"A1149",907,1,"鋼鐵人"
"A1150",821,1,"美國隊長"
"A1151",938,1,"美國隊長"
"A1152",724,1,"白皇后"
"A1153",778,1,"暴風女"
"A1154",735,1,"暴風女"
"A1155",779,1,"白皇后"
"A1156",782,1,"白皇后"
"A1157",873,1,"暴風女"
"A1158",724,1,"暴風女"
"A1159",826,1,"鋼鐵人"
"A1160",746,1,"鋼鐵人"
"A1161",780,1,"美國隊長"
"A1162",855,1,"美國隊長"
"A1163",862,1,"鋼鐵人"
"A1164",595,1,"鋼鐵人"
"A1165",826,1,"美國隊長"
"A1166",885,1,"美國隊長"
"A1167",682,1,"鋼鐵人"
"A1168",664,1,"鋼鐵人"
"A1169",703,1,"白皇后"
"A1171",860,1,"暴風女"
"A1173",785,1,"鋼鐵人"
"A1174",713,1,"鋼鐵人"
"A1175",813,1,"白皇后"
"A1176",841,1,"暴風女"
"A1177",864,1,"白皇后"
"A1178",825,1,"美國隊長"
"A1179",852,1,"鋼鐵人"
"A1180",678,1,"暴風女"
"A1181",801,1,"鋼鐵人"
"A1182",896,1,"白皇后"
"A1183",862,1,"美國隊長"
"A1184",925,1,"暴風女"
"A1185",752,1,"白皇后"
"A1186",939,1,"美國隊長"
"A1187",623,1,"白皇后"
"A1189",763,1,"暴風女"
"A1190",558,1,"暴風女"
"A1192",742,1,"鋼鐵人"
"A1193",1077,1,"美國隊長"
"A1194",716,1,"鋼鐵人"
"A1195",795,1,"鋼鐵人"
"A1196",850,1,"暴風女"
"A1197",698,1,"美國隊長"
"A1199",942,1,"暴風女"
"A1200",780,1,"鋼鐵人"
"A1201",744,1,"鋼鐵人"
"A1203",1045,1,"鋼鐵人"
"A1204",1663,6,"美國隊長"
"A1205",850,1,"鳳凰女"
"A1206",912,1,"暴風女"
"A1208",832,1,"美國隊長"
"A1209",912,1,"鋼鐵人"
"A1210",720,1,"鋼鐵人"
"A1212",941,1,"暴風女"
"A1213",828,1,"暴風女"
"A1214",1823,4,"其他"
"A1215",917,1,"白皇后"
"A1216",866,1,"白皇后"
"A1217",851,1,"美國隊長"
"A1218",1061,1,"美國隊長"
"A1219",1019,1,"美國隊長"
"A1220",892,1,"鋼鐵人"
"A1221",734,1,"鋼鐵人"
"A1223",871,1,"暴風女"
"A1224",814,1,"暴風女"
"A1225",806,1,"美國隊長"
"A1226",778,1,"美國隊長"
"A1227",865,1,"鋼鐵人"
"A1228",844,1,"鋼鐵人"
"A1231",834,1,"暴風女"
"A1232",641,1,"暴風女"
"A1233",975,1,"鋼鐵人"
"A1234",788,1,"鋼鐵人"
"A1235",871,1,"白皇后"
"A1236",798,1,"白皇后"
"A1237",877,1,"美國隊長"
"A1238",900,2,"美國隊長"
"A1239",879,1,"美國隊長"
"A1240",731,1,"美國隊長"
"A1241",762,1,"暴風女"
"A1242",720,1,"暴風女"
"A1243",863,1,"鋼鐵人"
"A1244",968,1,"鋼鐵人"
"A1245",860,1,"暴風女"
"A1246",755,1,"鋼鐵人"
"A1247",740,1,"鋼鐵人"
"A1248",1246,3,"美國隊長"
"A1249",829,1,"白皇后"
"A1250",842,1,"暴風女"
"A1251",731,1,"暴風女"
"A1252",685,1,"鋼鐵人"
"A1253",664,1,"鋼鐵人"
"A1254",919,1,"鋼鐵人"
"A1255",864,1,"白皇后"
"A1256",914,1,"美國隊長"
"A1257",838,1,"美國隊長"
"A1258",869,1,"暴風女"
"A1259",935,2,"白皇后"
"A1260",593,1,"白皇后"
"A1261",971,1,"鋼鐵人"
"A1262",802,1,"鋼鐵人"
"A1263",884,1,"美國隊長"
"A1264",1371,2,"鋼鐵人"
"A1265",1023,2,"暴風女"
"A1266",866,1,"白皇后"
"A1267",843,1,"美國隊長"
"A1268",810,1,"暴風女"
"A1269",914,2,"美國隊長"
"A1270",798,1,"暴風女"
"A1271",902,1,"白皇后"
"A1272",825,1,"暴風女"
"A1273",729,1,"白皇后"
"A1274",1022,1,"白皇后"
"A1275",652,1,"美國隊長"
"A1276",713,1,"暴風女"
"A1277",858,1,"鋼鐵人"
"A1278",852,1,"白皇后"
"A1279",906,1,"美國隊長"
"A1283",798,1,"暴風女"
"A1284",841,1,"鋼鐵人"
"A1285",885,1,"鋼鐵人"
"A1286",787,1,"美國隊長"
"A1287",798,1,"美國隊長"
"A1288",874,1,"白皇后"
"A1289",952,1,"暴風女"
"A1290",551,1,"鋼鐵人"
"A1291",918,1,"鋼鐵人"
"A1292",832,1,"美國隊長"
"A1293",1335,1,"美國隊長"
"A1295",763,1,"鋼鐵人"
"A1296",841,1,"暴風女"
"A1297",851,1,"美國隊長"
"A1298",894,1,"白皇后"
"A1299",731,1,"白皇后"
"A1300",889,1,"白皇后"
"A1302",850,1,"鋼鐵人"
"A1304",846,1,"暴風女"
"A1305",842,1,"美國隊長"
"A1306",783,1,"美國隊長"
"A1307",883,1,"鋼鐵人"
"A1308",971,1,"暴風女"
"A1309",878,1,"白皇后"
"A1310",1101,1,"美國隊長"
"A1312",717,1,"暴風女"
"A1313",853,2,"鋼鐵人"
"A1314",864,1,"白皇后"
"A1315",786,1,"美國隊長"
"A1318",805,1,"鋼鐵人"
"A1319",893,1,"鋼鐵人"
"A1320",859,1,"美國隊長"
"A1321",975,1,"美國隊長"
"A1322",891,1,"暴風女"
"A1323",915,1,"鋼鐵人"
"A1324",1106,2,"鋼鐵人"
"A1326",823,1,"白皇后"
"A1328",676,1,"美國隊長"
"A1329",722,1,"美國隊長"
"A1330",814,1,"鋼鐵人"
"A1331",778,1,"美國隊長"
"A1332",893,1,"美國隊長"
"A1333",765,1,"暴風女"
"A1334",926,1,"暴風女"
"A1335",897,1,"白皇后"
"A1336",750,1,"白皇后"
"A1337",829,1,"暴風女"
"A1338",761,1,"暴風女"
"A1339",701,1,"白皇后"
"A1340",820,1,"白皇后"
"A1341",965,1,"美國隊長"
"A1342",831,1,"美國隊長"
"A1343",680,1,"白皇后"
"A1344",843,1,"鋼鐵人"
"A1345",852,2,"鋼鐵人"
"A1346",868,1,"小丑女"
"A1347",780,1,"白皇后"
"A1348",602,1,"白皇后"
"A1349",835,1,"暴風女"
"A1350",1373,1,"暴風女"
"A1351",792,1,"鋼鐵人"
"A1353",969,1,"小丑女"
"A1354",959,1,"小丑女"
"A1355",664,1,"白皇后"
"A1357",804,1,"暴風女"
"A1358",733,2,"暴風女"
"A1359",836,1,"美國隊長"
"A1360",845,1,"鋼鐵人"
"A1361",863,1,"鋼鐵人"
"A1362",768,1,"美國隊長"
"A1363",875,3,"暴風女"
"A1364",927,2,"鋼鐵人"
"A1365",801,1,"鋼鐵人"
"A1366",724,1,"美國隊長"
"A1367",1015,1,"美國隊長"
"A1368",761,1,"白皇后"
"A1369",752,1,"白皇后"
"A1370",859,1,"暴風女"
"A1371",759,1,"鋼鐵人"
"A1372",815,1,"美國隊長"
"A1373",979,1,"美國隊長"
"A1374",854,1,"暴風女"
"A1375",947,1,"暴風女"
"A1376",773,1,"白皇后"
"A1377",922,1,"白皇后"
"A1378",743,1,"白皇后"
"A1379",712,1,"暴風女"
"A1380",759,1,"鋼鐵人"
"A1381",935,1,"白皇后"
"A1382",842,1,"美國隊長"
"A1383",975,2,"暴風女"
"A1385",862,1,"白皇后"
"A1386",708,1,"暴風女"
"A1387",853,1,"暴風女"
"A1388",1364,1,"鋼鐵人"
"A1389",725,1,"美國隊長"
"A1390",1002,1,"美國隊長"
"A1391",1027,2,"鋼鐵人"
"A1392",958,1,"鋼鐵人"
"A1393",1008,1,"暴風女"
"A1394",751,1,"美國隊長"
"A1395",1131,1,"鋼鐵人"
"A1396",856,1,"白皇后"
"A1397",1775,3,"鋼鐵人"
"A1398",833,1,"美國隊長"
"A1399",1009,1,"美國隊長"
"A1400",795,1,"鋼鐵人"
"A1401",774,1,"暴風女"
"A1402",912,1,"暴風女"
"A1403",870,1,"白皇后"
"A1404",1084,2,"暴風女"
"A1405",807,1,"暴風女"
"A1406",1020,1,"鋼鐵人"
"A1407",1071,2,"鋼鐵人"
"A1408",787,1,"美國隊長"
"A1409",899,1,"美國隊長"
"A1410",898,1,"白皇后"
"A1411",893,3,"鋼鐵人"
"A1412",1051,1,"鋼鐵人"
"A1413",1015,1,"鋼鐵人"
"A1414",745,1,"暴風女"
"A1415",904,1,"暴風女"
"A1416",967,1,"美國隊長"
"A1417",793,1,"美國隊長"
"A1418",858,1,"白皇后"
"A1419",786,1,"白皇后"
"A1420",858,1,"暴風女"
"A1421",915,1,"暴風女"
"A1422",881,1,"鋼鐵人"
"A1423",1277,3,"鋼鐵人"
"A1424",768,1,"白皇后"
"A1425",943,1,"美國隊長"
"A1426",949,1,"美國隊長"
"A1427",910,1,"鳳凰女"
"A1428",784,1,"美國隊長"
"A1429",863,1,"暴風女"
"A1430",795,1,"鳳凰女"
"A1431",1009,3,"鳳凰女"
"A1432",926,1,"鋼鐵人"
"A1433",893,1,"鋼鐵人"
"A1434",1180,3,"暴風女"
"A1435",1134,2,"暴風女"
"A1436",796,1,"美國隊長"
"A1437",960,1,"美國隊長"
"A1438",963,1,"鳳凰女"
"A1439",737,1,"鳳凰女"
"A1440",939,1,"暴風女"
"A1441",977,1,"美國隊長"
"A1442",1035,2,"鋼鐵人"
"A1443",807,1,"鳳凰女"
"A1445",901,2,"鳳凰女"
"A1446",913,2,"暴風女"
"A1447",820,1,"美國隊長"
"A1448",1271,3,"鋼鐵人"
"A1449",1095,1,"美國隊長"
"A1450",857,1,"美國隊長"
"A1451",970,1,"暴風女"
"A1452",960,1,"暴風女"
"A1453",1005,1,"鋼鐵人"
"A1454",1032,2,"鋼鐵人"
"A1455",770,1,"鳳凰女"
"A1456",741,1,"鳳凰女"
"A1457",1078,1,"暴風女"
"A1458",837,2,"暴風女"
"A1459",929,2,"鳳凰女"
"A1460",921,1,"鳳凰女"
"A1461",968,1,"鋼鐵人"
"A1462",1087,1,"鋼鐵人"
"A1463",957,3,"鋼鐵人"
"A1464",1003,1,"美國隊長"
"A1465",934,1,"美國隊長"
"A1466",944,1,"暴風女"
"A1467",816,1,"鳳凰女"
"A1468",1107,2,"鋼鐵人"
"A1469",NA,NA,"其他"
"A1470",871,1,"暴風女"
"A1471",979,1,"美國隊長"
"A1472",933,1,"美國隊長"
"A1473",951,1,"鳳凰女"
"A1474",860,1,"鳳凰女"
"A1475",NA,NA,"其他"
"A1476",962,1,"美國隊長"
"A1477",1140,1,"暴風女"
"A1478",830,1,"暴風女"
"A1479",897,1,"鳳凰女"
"A1480",862,1,"鳳凰女"
"A1481",971,2,"鋼鐵人"
"A1482",1077,2,"暴風女"
"A1483",925,2,"美國隊長"
"A1484",930,1,"鳳凰女"
"A1485",1004,1,"暴風女"
"A1486",1031,1,"暴風女"
"A1487",959,1,"鋼鐵人"
"A1488",1063,1,"美國隊長"
"A1489",986,1,"美國隊長"
"A1490",957,2,"鳳凰女"
"A1491",1306,2,"鋼鐵人"
"A1492",1128,1,"美國隊長"
"A1493",1032,2,"美國隊長"
"A1494",907,2,"暴風女"
"A1495",1108,1,"暴風女"
"A1496",1196,1,"鳳凰女"
"A1497",828,1,"鋼鐵人"
"A1498",960,1,"鋼鐵人"
"A1499",914,2,"暴風女"
"A1500",969,1,"暴風女"
"A1501",1123,1,"美國隊長"
"A1502",890,2,"鳳凰女"
"A1503",1005,1,"暴風女"
"A1504",1045,2,"美國隊長"
"A1505",923,2,"美國隊長"
"A1506",1280,1,"鳳凰女"
"A1507",924,1,"鳳凰女"
"A1508",935,2,"美國隊長"
"A1509",1096,2,"美國隊長"
"A1510",925,1,"暴風女"
"A1511",1019,1,"暴風女"
"A1512",959,1,"鳳凰女"
"A1513",902,2,"鳳凰女"
"A1514",974,1,"鋼鐵人"
"A1515",963,1,"鋼鐵人"
"A1516",1060,2,"美國隊長"
"A1517",1054,2,"美國隊長"
"A1518",976,1,"暴風女"
"A1519",1005,1,"暴風女"
"A1520",978,2,"鋼鐵人"
"A1521",890,1,"鋼鐵人"
"A1522",823,1,"鳳凰女"
"A1523",1743,3,"鳳凰女"
"A1524",803,2,"鳳凰女"
"A1525",1058,1,"美國隊長"
"A1526",978,2,"鋼鐵人"
"A1527",1050,2,"暴風女"
"A1528",893,1,"鳳凰女"
"A1529",953,1,"美國隊長"
"A1530",953,2,"暴風女"
"A1531",1110,1,"鋼鐵人"
"A1532",1073,1,"暴風女"
"A1534",1104,2,"美國隊長"
"A1535",1035,2,"鋼鐵人"
"A1536",1051,1,"鳳凰女"
"A1537",919,2,"鳳凰女"
"A1538",982,1,"暴風女"
"A1539",815,2,"鋼鐵人"
"A1540",921,2,"鳳凰女"
"A1541",979,2,"暴風女"
"A1542",822,2,"暴風女"
"A1543",996,1,"鋼鐵人"
"A1544",839,3,"鋼鐵人"
"A1545",918,2,"鳳凰女"
"A1546",909,3,"鳳凰女"
"A1548",848,2,"白皇后"
"A1549",800,2,"暴風女"
"A1550",664,1,"暴風女"
"A1551",964,2,"白皇后"
"A1552",708,2,"白皇后"
"A1553",873,2,"鳳凰女"
"A1554",811,2,"鳳凰女"
"A1555",832,3,"鋼鐵人"
"A1556",884,2,"鋼鐵人"
"A1557",897,2,"美國隊長"
"A1558",804,2,"鋼鐵人"
"A1559",1156,2,"暴風女"
"A1560",935,1,"鳳凰女"
"A1561",895,2,"鳳凰女"
"A1562",889,3,"美國隊長"
"A1563",862,1,"鳳凰女"
"A1564",904,2,"鳳凰女"
"A1565",968,1,"鋼鐵人"
"A1566",731,2,"鋼鐵人"
"A1567",775,2,"鋼鐵人"
"A1568",948,3,"白皇后"
"A1569",904,1,"白皇后"
"A1570",916,2,"鳳凰女"
"A1571",884,2,"鳳凰女"
"A1572",866,2,"白皇后"
"A1573",830,2,"白皇后"
"A1574",1508,4,"鋼鐵人"
"A1575",1281,2,"鋼鐵人"
"A1576",1044,2,"鋼鐵人"
"A1577",799,2,"鳳凰女"
"A1578",771,2,"鳳凰女"
"A1579",938,2,"白皇后"
"A1580",871,3,"鳳凰女"
"A1581",1800,3,"鋼鐵人"
"A1582",851,2,"鋼鐵人"
"A1583",789,2,"暴風女"
"A1584",1095,1,"暴風女"
"A1585",907,2,"白皇后"
"A1586",910,2,"白皇后"
"A1587",771,1,"美國隊長"
"A1588",992,2,"暴風女"
"A1589",918,2,"暴風女"
"A1590",808,1,"鳳凰女"
"A1591",930,2,"暴風女"
"A1592",779,2,"白皇后"
"A1593",909,2,"白皇后"
"A1594",790,2,"暴風女"
"A1595",1762,4,"鋼鐵人"
"A1596",837,2,"鋼鐵人"
"A1597",910,2,"鳳凰女"
"A1598",933,2,"鳳凰女"
"A1599",873,1,"白皇后"
"A1600",901,2,"白皇后"
"A1601",836,2,"白皇后"
"A1602",883,3,"鳳凰女"
"A1603",862,1,"鳳凰女"
"A1604",832,2,"暴風女"
"A1605",841,2,"白皇后"
"A1606",1009,1,"鋼鐵人"
"A1607",1003,3,"鋼鐵人"
"A1608",697,2,"白皇后"
"A1609",909,1,"暴風女"
"A1610",831,1,"暴風女"
"A1611",1322,2,"白皇后"
"A1612",976,2,"白皇后"
"A1613",904,2,"鳳凰女"
"A1614",753,2,"鳳凰女"
"A1615",749,1,"鋼鐵人"
"A1616",879,2,"鋼鐵人"
"A1618",957,1,"白皇后"
"A1619",952,1,"暴風女"
"A1620",818,2,"鳳凰女"
"A1621",794,1,"鳳凰女"
"A1622",1111,2,"鋼鐵人"
"A1623",933,1,"鳳凰女"
"A1624",909,2,"暴風女"
"A1625",929,1,"暴風女"
"A1626",949,1,"暴風女"
"A1627",981,1,"鋼鐵人"
"A1628",1245,4,"鋼鐵人"
"A1629",973,1,"鳳凰女"
"A1630",862,2,"鳳凰女"
"A1631",909,2,"白皇后"
"A1633",919,1,"暴風女"
"A1634",906,1,"暴風女"
"A1635",1010,1,"白皇后"
"A1636",739,1,"鳳凰女"
"A1637",964,1,"鳳凰女"
"A1638",908,2,"鋼鐵人"
"A1639",1240,4,"鋼鐵人"
"A1640",791,1,"白皇后"
"A1641",933,1,"白皇后"
"A1642",866,2,"鳳凰女"
"A1643",962,1,"鳳凰女"
"A1644",885,1,"暴風女"
"A1645",936,2,"鋼鐵人"
"A1646",981,1,"鋼鐵人"
"A1647",879,2,"鳳凰女"
"A1648",892,1,"鳳凰女"
"A1649",881,1,"白皇后"
"A1650",952,1,"鋼鐵人"
"A1651",904,2,"白皇后"
"A1652",1052,2,"白皇后"
"A1653",863,2,"鳳凰女"
"A1654",790,2,"鳳凰女"
"A1655",926,2,"美國隊長"
"A1656",899,1,"美國隊長"
"A1657",878,2,"鋼鐵人"
"A1658",911,1,"鋼鐵人"
"A1659",826,2,"美國隊長"
"A1660",1064,1,"美國隊長"
"A1661",1028,1,"白皇后"
"A1662",872,1,"白皇后"
"A1663",1038,2,"鋼鐵人"
"A1664",937,3,"鋼鐵人"
"A1665",992,2,"美國隊長"
"A1666",943,1,"鳳凰女"
"A1667",870,1,"鳳凰女"
"A1668",821,1,"白皇后"
"A1669",914,2,"鋼鐵人"
"A1670",1000,2,"鋼鐵人"
"A1671",974,2,"美國隊長"
"A1672",1014,2,"美國隊長"
"A1673",1616,3,"白皇后"
"A1675",911,2,"鋼鐵人"
"A1676",865,2,"鳳凰女"
"A1677",1465,3,"白皇后"
"A1678",857,2,"美國隊長"
"A1679",1003,1,"美國隊長"
"A1680",910,2,"鋼鐵人"
"A1681",881,2,"鋼鐵人"
"A1682",1004,3,"鋼鐵人"
"A1683",914,2,"鳳凰女"
"A1684",853,2,"鳳凰女"
"A1685",775,1,"白皇后"
"A1686",947,1,"白皇后"
"A1687",851,2,"美國隊長"
"A1688",878,2,"美國隊長"
"A1689",924,1,"鋼鐵人"
"A1690",1015,2,"白皇后"
"A1691",903,2,"白皇后"
"A1692",886,1,"鳳凰女"
"A1693",909,1,"鋼鐵人"
"A1694",811,2,"鋼鐵人"
"A1695",1283,2,"白皇后"
"A1696",915,2,"白皇后"
"A1697",895,2,"鳳凰女"
"A1698",1018,2,"美國隊長"
"A1699",860,2,"美國隊長"
"A1700",954,1,"白皇后"
"A1701",937,1,"白皇后"
"A1702",976,1,"鋼鐵人"
"A1703",932,1,"鋼鐵人"
"A1704",809,2,"鳳凰女"
"A1705",888,1,"鳳凰女"
"A1706",1113,2,"美國隊長"
"A1707",1038,1,"美國隊長"
"A1708",937,2,"鳳凰女"
"A1709",981,1,"鳳凰女"
"A1710",969,2,"鋼鐵人"
"A1711",948,1,"美國隊長"
